Biosample	GTExTissue	nVariantsOverlappingEnhancers	nVariantsGTExTissue	nCommonVariantsOverlappingEnhancers	nCommonVariants	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	method	distance_min	distance_max	tissue.biosample	pred_name_long	hex	count	cat	pairs
BMMC22_G_M_prog	iPSC	0	225	8054	9746610	0	0	NA	Inf	1	SnapATAC	0	10	iPSC.BMMC22_G_M_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	neutrophil	0	296	8054	9746610	0	0	NA	Inf	1	SnapATAC	0	10	neutrophil.BMMC22_G_M_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_HSC	iPSC	0	225	23342	9746610	0	0	NA	Inf	1	SnapATAC	0	10	iPSC.BMMC22_HSC	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	iPSC	0	225	18238	9746610	0	0	NA	Inf	1	SnapATAC	0	10	iPSC.BMMC22_Lymph_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	T	0	118	18238	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.BMMC22_Lymph_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	B	0	155	18238	9746610	0	0	NA	Inf	1	SnapATAC	0	10	B.BMMC22_Lymph_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_MK_E_prog	iPSC	0	225	21094	9746610	0	0	NA	Inf	1	SnapATAC	0	10	iPSC.BMMC22_MK_E_prog	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Naive_CD20_pos_B	B	0	155	7294	9746610	0	0	NA	Inf	1	SnapATAC	0	10	B.BMMC22_Naive_CD20_pos_B	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_NK	NK	0	224	17243	9746610	0	0	NA	Inf	1	SnapATAC	0	10	NK.BMMC22_NK	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	macrophage	0	212	332	9746610	0	0	NA	Inf	1	SnapATAC	0	10	macrophage.PBMC_11_CD14.Mono.1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	monocyte_CD14_pos	0	21	332	9746610	0	0	NA	Inf	1	SnapATAC	0	10	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_12_CD14.Mono.2	monocyte_CD14_pos	0	21	3226	9746610	0	0	NA	Inf	1	SnapATAC	0	10	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	monocyte	0	982	209	9746610	0	0	NA	Inf	1	SnapATAC	0	10	monocyte.PBMC_13_CD16.Mono	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	monocyte_CD16_pos	0	147	209	9746610	0	0	NA	Inf	1	SnapATAC	0	10	monocyte_CD16_pos.PBMC_13_CD16.Mono	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	macrophage	0	212	209	9746610	0	0	NA	Inf	1	SnapATAC	0	10	macrophage.PBMC_13_CD16.Mono	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_17_B	B	0	155	2571	9746610	0	0	NA	Inf	1	SnapATAC	0	10	B.PBMC_17_B	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	Tfh	0	134	131	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Tfh.PBMC_20_CD4.N1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	Treg	0	286	131	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Treg.PBMC_20_CD4.N1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	T	0	118	131	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.PBMC_20_CD4.N1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	T_CD4_pos_naive	0	26	131	9746610	0	0	NA	Inf	0.749104268527841	SnapATAC	0	10	T_CD4_pos_naive.PBMC_20_CD4.N1	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	Tfh	0	134	6136	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Tfh.PBMC_22_CD4.M	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	Treg	0	286	6136	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Treg.PBMC_22_CD4.M	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	T	0	118	6136	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.PBMC_22_CD4.M	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_24_CD8.CM	T_CD8_pos	0	249	371	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T_CD8_pos.PBMC_24_CD8.CM	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_24_CD8.CM	T	0	118	371	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.PBMC_24_CD8.CM	SnapATAC (p-value)	#5e5948	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_B1_B	B	0	155	1234	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC22_B1_B	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	T_CD4_pos	0	1032	824	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD4_pos.BMMC22_CD4_pos_T_activated	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	Tfh	0	134	824	9746610	0	0	NA	Inf	1	Cicero	0	10	Tfh.BMMC22_CD4_pos_T_activated	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	Treg	0	286	824	9746610	0	0	NA	Inf	1	Cicero	0	10	Treg.BMMC22_CD4_pos_T_activated	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	T	0	118	824	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC22_CD4_pos_T_activated	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	Tfh	0	134	592	9746610	0	0	NA	Inf	1	Cicero	0	10	Tfh.BMMC22_CD4_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	Treg	0	286	592	9746610	0	0	NA	Inf	1	Cicero	0	10	Treg.BMMC22_CD4_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	T	0	118	592	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC22_CD4_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	T_CD4_pos_naive	0	26	592	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T	T_CD8_pos	0	249	763	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD8_pos.BMMC22_CD8_pos_T	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T	T	0	118	763	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC22_CD8_pos_T	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T_naive	T_CD8_pos	0	249	1428	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD8_pos.BMMC22_CD8_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T_naive	T	0	118	1428	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC22_CD8_pos_T_naive	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD14_pos_Mono	macrophage	0	212	4524	9746610	0	0	NA	Inf	1	Cicero	0	10	macrophage.BMMC22_CD14_pos_Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD14_pos_Mono	monocyte_CD14_pos	0	21	4524	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte_CD14_pos.BMMC22_CD14_pos_Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD16_pos_Mono	monocyte	0	982	1873	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte.BMMC22_CD16_pos_Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD16_pos_Mono	monocyte_CD16_pos	0	147	1873	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte_CD16_pos.BMMC22_CD16_pos_Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD16_pos_Mono	macrophage	0	212	1873	9746610	0	0	NA	Inf	1	Cicero	0	10	macrophage.BMMC22_CD16_pos_Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Erythroblast	blood	0	992	1514	9746610	0	0	NA	Inf	1	Cicero	0	10	blood.BMMC22_Erythroblast	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	monocyte	0	982	1150	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte.BMMC22_G_M_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	iPSC	0	225	1150	9746610	0	0	NA	Inf	1	Cicero	0	10	iPSC.BMMC22_G_M_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	neutrophil	0	296	1150	9746610	0	0	NA	Inf	1	Cicero	0	10	neutrophil.BMMC22_G_M_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_HSC	iPSC	0	225	4669	9746610	0	0	NA	Inf	1	Cicero	0	10	iPSC.BMMC22_HSC	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_ILC	NK	0	224	2785	9746610	0	0	NA	Inf	1	Cicero	0	10	NK.BMMC22_ILC	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	iPSC	0	225	2702	9746610	0	0	NA	Inf	1	Cicero	0	10	iPSC.BMMC22_Lymph_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	NK	0	224	2702	9746610	0	0	NA	Inf	1	Cicero	0	10	NK.BMMC22_Lymph_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	T	0	118	2702	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC22_Lymph_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	B	0	155	2702	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC22_Lymph_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_MK_E_prog	iPSC	0	225	3498	9746610	0	0	NA	Inf	1	Cicero	0	10	iPSC.BMMC22_MK_E_prog	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Naive_CD20_pos_B	B	0	155	924	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC22_Naive_CD20_pos_B	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_NK	NK	0	224	2230	9746610	0	0	NA	Inf	1	Cicero	0	10	NK.BMMC22_NK	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Normoblast	blood	0	992	3918	9746610	0	0	NA	Inf	1	Cicero	0	10	blood.BMMC22_Normoblast	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Plasma_cell	B	0	155	4883	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC22_Plasma_cell	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Proerythroblast	blood	0	992	3294	9746610	0	0	NA	Inf	1	Cicero	0	10	blood.BMMC22_Proerythroblast	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Transitional_B	B	0	155	1680	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC22_Transitional_B	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	monocyte	0	982	164	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte.PBMC_11_CD14.Mono.1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	macrophage	0	212	164	9746610	0	0	NA	Inf	1	Cicero	0	10	macrophage.PBMC_11_CD14.Mono.1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	monocyte_CD14_pos	0	21	164	9746610	0	0	NA	Inf	0.75746186149108	Cicero	0	10	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_12_CD14.Mono.2	macrophage	0	212	1140	9746610	0	0	NA	Inf	1	Cicero	0	10	macrophage.PBMC_12_CD14.Mono.2	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_12_CD14.Mono.2	monocyte_CD14_pos	0	21	1140	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	monocyte	0	982	72	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte.PBMC_13_CD16.Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	monocyte_CD16_pos	0	147	72	9746610	0	0	NA	Inf	1	Cicero	0	10	monocyte_CD16_pos.PBMC_13_CD16.Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_13_CD16.Mono	macrophage	0	212	72	9746610	0	0	NA	Inf	1	Cicero	0	10	macrophage.PBMC_13_CD16.Mono	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_17_B	B	0	155	942	9746610	0	0	NA	Inf	1	Cicero	0	10	B.PBMC_17_B	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	Tfh	0	134	45	9746610	0	0	NA	Inf	1	Cicero	0	10	Tfh.PBMC_20_CD4.N1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	Treg	0	286	45	9746610	0	0	NA	Inf	1	Cicero	0	10	Treg.PBMC_20_CD4.N1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	T	0	118	45	9746610	0	0	NA	Inf	1	Cicero	0	10	T.PBMC_20_CD4.N1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_20_CD4.N1	T_CD4_pos_naive	0	26	45	9746610	0	0	NA	Inf	0.257354276094766	Cicero	0	10	T_CD4_pos_naive.PBMC_20_CD4.N1	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	T_CD4_pos	0	1032	1627	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD4_pos.PBMC_22_CD4.M	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	Tfh	0	134	1627	9746610	0	0	NA	Inf	1	Cicero	0	10	Tfh.PBMC_22_CD4.M	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	Treg	0	286	1627	9746610	0	0	NA	Inf	1	Cicero	0	10	Treg.PBMC_22_CD4.M	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_22_CD4.M	T	0	118	1627	9746610	0	0	NA	Inf	1	Cicero	0	10	T.PBMC_22_CD4.M	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_24_CD8.CM	T_CD8_pos	0	249	93	9746610	0	0	NA	Inf	1	Cicero	0	10	T_CD8_pos.PBMC_24_CD8.CM	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_24_CD8.CM	T	0	118	93	9746610	0	0	NA	Inf	1	Cicero	0	10	T.PBMC_24_CD8.CM	Cicero (co-accessibility)	#888364	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_B1_B	B	0	155	11575	9746610	0	0	NA	Inf	1	FigR	0	10	B.BMMC22_B1_B	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	T_CD4_pos	0	1032	9974	9746610	0	0	NA	Inf	1	FigR	0	10	T_CD4_pos.BMMC22_CD4_pos_T_activated	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	Tfh	0	134	9974	9746610	0	0	NA	Inf	1	FigR	0	10	Tfh.BMMC22_CD4_pos_T_activated	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	Treg	0	286	9974	9746610	0	0	NA	Inf	1	FigR	0	10	Treg.BMMC22_CD4_pos_T_activated	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_activated	T	0	118	9974	9746610	0	0	NA	Inf	1	FigR	0	10	T.BMMC22_CD4_pos_T_activated	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	Tfh	0	134	8572	9746610	0	0	NA	Inf	1	FigR	0	10	Tfh.BMMC22_CD4_pos_T_naive	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	Treg	0	286	8572	9746610	0	0	NA	Inf	1	FigR	0	10	Treg.BMMC22_CD4_pos_T_naive	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	T	0	118	8572	9746610	0	0	NA	Inf	1	FigR	0	10	T.BMMC22_CD4_pos_T_naive	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD4_pos_T_naive	T_CD4_pos_naive	0	26	8572	9746610	0	0	NA	Inf	1	FigR	0	10	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T	T_CD8_pos	0	249	6107	9746610	0	0	NA	Inf	1	FigR	0	10	T_CD8_pos.BMMC22_CD8_pos_T	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T	T	0	118	6107	9746610	0	0	NA	Inf	1	FigR	0	10	T.BMMC22_CD8_pos_T	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_CD8_pos_T_naive	T	0	118	22833	9746610	0	0	NA	Inf	1	FigR	0	10	T.BMMC22_CD8_pos_T_naive	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	monocyte	0	982	8054	9746610	0	0	NA	Inf	1	FigR	0	10	monocyte.BMMC22_G_M_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	iPSC	0	225	8054	9746610	0	0	NA	Inf	1	FigR	0	10	iPSC.BMMC22_G_M_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_G_M_prog	neutrophil	0	296	8054	9746610	0	0	NA	Inf	1	FigR	0	10	neutrophil.BMMC22_G_M_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_HSC	iPSC	0	225	23342	9746610	0	0	NA	Inf	1	FigR	0	10	iPSC.BMMC22_HSC	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	iPSC	0	225	18238	9746610	0	0	NA	Inf	1	FigR	0	10	iPSC.BMMC22_Lymph_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	T	0	118	18238	9746610	0	0	NA	Inf	1	FigR	0	10	T.BMMC22_Lymph_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Lymph_prog	B	0	155	18238	9746610	0	0	NA	Inf	1	FigR	0	10	B.BMMC22_Lymph_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_MK_E_prog	iPSC	0	225	21094	9746610	0	0	NA	Inf	1	FigR	0	10	iPSC.BMMC22_MK_E_prog	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_Naive_CD20_pos_B	B	0	155	7294	9746610	0	0	NA	Inf	1	FigR	0	10	B.BMMC22_Naive_CD20_pos_B	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
BMMC22_NK	NK	0	224	17243	9746610	0	0	NA	Inf	1	FigR	0	10	NK.BMMC22_NK	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	monocyte	0	982	332	9746610	0	0	NA	Inf	1	FigR	0	10	monocyte.PBMC_11_CD14.Mono.1	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	macrophage	0	212	332	9746610	0	0	NA	Inf	1	FigR	0	10	macrophage.PBMC_11_CD14.Mono.1	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_11_CD14.Mono.1	monocyte_CD14_pos	0	21	332	9746610	0	0	NA	Inf	1	FigR	0	10	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
PBMC_12_CD14.Mono.2	monocyte	0	982	3226	9746610	0	0	NA	Inf	1	FigR	0	10	monocyte.PBMC_12_CD14.Mono.2	FigR (p-value)	#bc9678	21-1038 variants	0-10 Kb	60-60 biosample pairs
