GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
T	30	29	BMMC22_CD8_pos_T_naive	0	10	118	0.254237288135593	0.245762711864407	0.966666666666667	scE2G_multiome	T.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	360	345	BMMC22_CD14_pos_Mono	0	10	992	0.362903225806452	0.347782258064516	0.958333333333333	scE2G_multiome	monocyte.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	65	64	BMMC22_CD14_pos_Mono	0	10	213	0.305164319248826	0.300469483568075	0.984615384615385	scE2G_multiome	macrophage.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	6	5	BMMC22_CD14_pos_Mono	0	10	21	0.285714285714286	0.238095238095238	0.833333333333333	scE2G_multiome	monocyte_CD14_pos.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	312	296	BMMC22_CD16_pos_Mono	0	10	992	0.314516129032258	0.298387096774194	0.948717948717949	scE2G_multiome	monocyte.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD16_pos	55	53	BMMC22_CD16_pos_Mono	0	10	148	0.371621621621622	0.358108108108108	0.963636363636364	scE2G_multiome	monocyte_CD16_pos.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	57	54	BMMC22_CD16_pos_Mono	0	10	213	0.267605633802817	0.253521126760563	0.947368421052632	scE2G_multiome	macrophage.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	208	185	BMMC22_Erythroblast	0	10	999	0.208208208208208	0.185185185185185	0.889423076923077	scE2G_multiome	blood.BMMC22_Erythroblast	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	334	320	BMMC22_G_M_prog	0	10	992	0.336693548387097	0.32258064516129	0.958083832335329	scE2G_multiome	monocyte.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	44	41	BMMC22_G_M_prog	0	10	226	0.194690265486726	0.18141592920354	0.931818181818182	scE2G_multiome	iPSC.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
neutrophil	130	128	BMMC22_G_M_prog	0	10	299	0.434782608695652	0.42809364548495	0.984615384615385	scE2G_multiome	neutrophil.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	44	42	BMMC22_HSC	0	10	226	0.194690265486726	0.185840707964602	0.954545454545455	scE2G_multiome	iPSC.BMMC22_HSC	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	70	68	BMMC22_ILC	0	10	226	0.309734513274336	0.300884955752212	0.971428571428571	scE2G_multiome	NK.BMMC22_ILC	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	45	41	BMMC22_Lymph_prog	0	10	226	0.199115044247788	0.18141592920354	0.911111111111111	scE2G_multiome	iPSC.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	63	59	BMMC22_Lymph_prog	0	10	226	0.278761061946903	0.261061946902655	0.936507936507937	scE2G_multiome	NK.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	32	30	BMMC22_Lymph_prog	0	10	118	0.271186440677966	0.254237288135593	0.9375	scE2G_multiome	T.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	47	44	BMMC22_Lymph_prog	0	10	156	0.301282051282051	0.282051282051282	0.936170212765957	scE2G_multiome	B.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	44	42	BMMC22_MK_E_prog	0	10	226	0.194690265486726	0.185840707964602	0.954545454545455	scE2G_multiome	iPSC.BMMC22_MK_E_prog	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	41	40	BMMC22_Naive_CD20_pos_B	0	10	156	0.262820512820513	0.256410256410256	0.975609756097561	scE2G_multiome	B.BMMC22_Naive_CD20_pos_B	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	82	80	BMMC22_NK	0	10	226	0.36283185840708	0.353982300884956	0.975609756097561	scE2G_multiome	NK.BMMC22_NK	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	155	139	BMMC22_Normoblast	0	10	999	0.155155155155155	0.139139139139139	0.896774193548387	scE2G_multiome	blood.BMMC22_Normoblast	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	42	42	BMMC22_Plasma_cell	0	10	156	0.269230769230769	0.269230769230769	1	scE2G_multiome	B.BMMC22_Plasma_cell	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	245	228	BMMC22_Proerythroblast	0	10	999	0.245245245245245	0.228228228228228	0.930612244897959	scE2G_multiome	blood.BMMC22_Proerythroblast	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	44	44	BMMC22_Transitional_B	0	10	156	0.282051282051282	0.282051282051282	1	scE2G_multiome	B.BMMC22_Transitional_B	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	315	298	PBMC_11_CD14.Mono.1	0	10	992	0.317540322580645	0.300403225806452	0.946031746031746	scE2G_multiome	monocyte.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	55	53	PBMC_11_CD14.Mono.1	0	10	213	0.258215962441315	0.248826291079812	0.963636363636364	scE2G_multiome	macrophage.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	6	6	PBMC_11_CD14.Mono.1	0	10	21	0.285714285714286	0.285714285714286	1	scE2G_multiome	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	333	318	PBMC_12_CD14.Mono.2	0	10	992	0.335685483870968	0.320564516129032	0.954954954954955	scE2G_multiome	monocyte.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	61	57	PBMC_12_CD14.Mono.2	0	10	213	0.286384976525822	0.267605633802817	0.934426229508197	scE2G_multiome	macrophage.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	6	5	PBMC_12_CD14.Mono.2	0	10	21	0.285714285714286	0.238095238095238	0.833333333333333	scE2G_multiome	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	297	280	PBMC_13_CD16.Mono	0	10	992	0.299395161290323	0.282258064516129	0.942760942760943	scE2G_multiome	monocyte.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD16_pos	50	48	PBMC_13_CD16.Mono	0	10	148	0.337837837837838	0.324324324324324	0.96	scE2G_multiome	monocyte_CD16_pos.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	50	46	PBMC_13_CD16.Mono	0	10	213	0.234741784037559	0.215962441314554	0.92	scE2G_multiome	macrophage.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	43	43	PBMC_17_B	0	10	156	0.275641025641026	0.275641025641026	1	scE2G_multiome	B.PBMC_17_B	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	28	26	PBMC_20_CD4.N1	0	10	134	0.208955223880597	0.194029850746269	0.928571428571429	scE2G_multiome	Tfh.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	52	51	PBMC_20_CD4.N1	0	10	287	0.181184668989547	0.177700348432056	0.980769230769231	scE2G_multiome	Treg.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	26	25	PBMC_20_CD4.N1	0	10	118	0.220338983050847	0.211864406779661	0.961538461538461	scE2G_multiome	T.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos_naive	7	7	PBMC_20_CD4.N1	0	10	26	0.269230769230769	0.269230769230769	1	scE2G_multiome	T_CD4_pos_naive.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos	247	244	PBMC_22_CD4.M	0	10	1038	0.237957610789981	0.235067437379576	0.987854251012146	scE2G_multiome	T_CD4_pos.PBMC_22_CD4.M	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	37	37	PBMC_22_CD4.M	0	10	134	0.276119402985075	0.276119402985075	1	scE2G_multiome	Tfh.PBMC_22_CD4.M	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	62	60	PBMC_22_CD4.M	0	10	287	0.21602787456446	0.209059233449477	0.967741935483871	scE2G_multiome	Treg.PBMC_22_CD4.M	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	32	30	PBMC_22_CD4.M	0	10	118	0.271186440677966	0.254237288135593	0.9375	scE2G_multiome	T.PBMC_22_CD4.M	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	62	62	PBMC_24_CD8.CM	0	10	250	0.248	0.248	1	scE2G_multiome	T_CD8_pos.PBMC_24_CD8.CM	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	30	30	PBMC_24_CD8.CM	0	10	118	0.254237288135593	0.254237288135593	1	scE2G_multiome	T.PBMC_24_CD8.CM	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	75	69	PBMC_25_NK	0	10	226	0.331858407079646	0.305309734513274	0.92	scE2G_multiome	NK.PBMC_25_NK	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	103	64	K562	10	100	1464	0.0703551912568306	0.0437158469945355	0.621359223300971	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
spleen	20	12	K562	10	100	268	0.0746268656716418	0.0447761194029851	0.6	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
LCL	135	93	GM12878	10	100	1163	0.116079105760963	0.0799656061908856	0.688888888888889	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	35	27	BMMC22_B1_B	10	100	256	0.13671875	0.10546875	0.771428571428571	scE2G_multiome	B.BMMC22_B1_B	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T_CD4_pos	234	166	BMMC22_CD4_pos_T_activated	10	100	1920	0.121875	0.0864583333333333	0.70940170940171	scE2G_multiome	T_CD4_pos.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
Tfh	34	28	BMMC22_CD4_pos_T_activated	10	100	202	0.168316831683168	0.138613861386139	0.823529411764706	scE2G_multiome	Tfh.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
Treg	72	54	BMMC22_CD4_pos_T_activated	10	100	481	0.14968814968815	0.112266112266112	0.75	scE2G_multiome	Treg.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T	23	16	BMMC22_CD4_pos_T_activated	10	100	134	0.171641791044776	0.119402985074627	0.695652173913044	scE2G_multiome	T.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
Tfh	36	27	BMMC22_CD4_pos_T_naive	10	100	202	0.178217821782178	0.133663366336634	0.75	scE2G_multiome	Tfh.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
Treg	69	54	BMMC22_CD4_pos_T_naive	10	100	481	0.143451143451143	0.112266112266112	0.782608695652174	scE2G_multiome	Treg.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T	23	18	BMMC22_CD4_pos_T_naive	10	100	134	0.171641791044776	0.134328358208955	0.782608695652174	scE2G_multiome	T.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T_CD4_pos_naive	11	8	BMMC22_CD4_pos_T_naive	10	100	53	0.207547169811321	0.150943396226415	0.727272727272727	scE2G_multiome	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T_CD8_pos	54	39	BMMC22_CD8_pos_T	10	100	384	0.140625	0.1015625	0.722222222222222	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T	19	15	BMMC22_CD8_pos_T	10	100	134	0.141791044776119	0.111940298507463	0.789473684210526	scE2G_multiome	T.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T_CD8_pos	46	36	BMMC22_CD8_pos_T_naive	10	100	384	0.119791666666667	0.09375	0.782608695652174	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T	18	15	BMMC22_CD8_pos_T_naive	10	100	134	0.134328358208955	0.111940298507463	0.833333333333333	scE2G_multiome	T.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	288	208	BMMC22_CD14_pos_Mono	10	100	1412	0.203966005665722	0.147308781869688	0.722222222222222	scE2G_multiome	monocyte.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
macrophage	45	33	BMMC22_CD14_pos_Mono	10	100	271	0.166051660516605	0.121771217712177	0.733333333333333	scE2G_multiome	macrophage.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte_CD14_pos	6	5	BMMC22_CD14_pos_Mono	10	100	22	0.272727272727273	0.227272727272727	0.833333333333333	scE2G_multiome	monocyte_CD14_pos.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	254	169	BMMC22_CD16_pos_Mono	10	100	1412	0.179886685552408	0.119688385269122	0.665354330708662	scE2G_multiome	monocyte.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte_CD16_pos	39	27	BMMC22_CD16_pos_Mono	10	100	232	0.168103448275862	0.116379310344828	0.692307692307692	scE2G_multiome	monocyte_CD16_pos.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
macrophage	35	27	BMMC22_CD16_pos_Mono	10	100	271	0.129151291512915	0.0996309963099631	0.771428571428571	scE2G_multiome	macrophage.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
dendritic	7	6	BMMC22_cDC2	10	100	21	0.333333333333333	0.285714285714286	0.857142857142857	scE2G_multiome	dendritic.BMMC22_cDC2	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
blood	117	72	BMMC22_Erythroblast	10	100	1464	0.0799180327868853	0.0491803278688525	0.615384615384615	scE2G_multiome	blood.BMMC22_Erythroblast	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	227	153	BMMC22_G_M_prog	10	100	1412	0.160764872521246	0.108356940509915	0.674008810572687	scE2G_multiome	monocyte.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
iPSC	14	6	BMMC22_G_M_prog	10	100	316	0.0443037974683544	0.0189873417721519	0.428571428571429	scE2G_multiome	iPSC.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
neutrophil	86	49	BMMC22_G_M_prog	10	100	486	0.176954732510288	0.10082304526749	0.569767441860465	scE2G_multiome	neutrophil.BMMC22_G_M_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
iPSC	11	5	BMMC22_HSC	10	100	316	0.0348101265822785	0.0158227848101266	0.454545454545455	scE2G_multiome	iPSC.BMMC22_HSC	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
NK	71	57	BMMC22_ILC	10	100	370	0.191891891891892	0.154054054054054	0.802816901408451	scE2G_multiome	NK.BMMC22_ILC	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
iPSC	11	8	BMMC22_Lymph_prog	10	100	316	0.0348101265822785	0.0253164556962025	0.727272727272727	scE2G_multiome	iPSC.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
NK	44	31	BMMC22_Lymph_prog	10	100	370	0.118918918918919	0.0837837837837838	0.704545454545455	scE2G_multiome	NK.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
T	20	9	BMMC22_Lymph_prog	10	100	134	0.149253731343284	0.0671641791044776	0.45	scE2G_multiome	T.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	30	23	BMMC22_Lymph_prog	10	100	256	0.1171875	0.08984375	0.766666666666667	scE2G_multiome	B.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
iPSC	10	3	BMMC22_MK_E_prog	10	100	316	0.0316455696202532	0.00949367088607595	0.3	scE2G_multiome	iPSC.BMMC22_MK_E_prog	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	33	27	BMMC22_Naive_CD20_pos_B	10	100	256	0.12890625	0.10546875	0.818181818181818	scE2G_multiome	B.BMMC22_Naive_CD20_pos_B	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
NK	78	60	BMMC22_NK	10	100	370	0.210810810810811	0.162162162162162	0.769230769230769	scE2G_multiome	NK.BMMC22_NK	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
blood	107	71	BMMC22_Normoblast	10	100	1464	0.0730874316939891	0.0484972677595628	0.663551401869159	scE2G_multiome	blood.BMMC22_Normoblast	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
dendritic	8	6	BMMC22_pDC	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_multiome	dendritic.BMMC22_pDC	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	27	20	BMMC22_Plasma_cell	10	100	256	0.10546875	0.078125	0.740740740740741	scE2G_multiome	B.BMMC22_Plasma_cell	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
blood	112	71	BMMC22_Proerythroblast	10	100	1464	0.0765027322404372	0.0484972677595628	0.633928571428571	scE2G_multiome	blood.BMMC22_Proerythroblast	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	33	28	BMMC22_Transitional_B	10	100	256	0.12890625	0.109375	0.848484848484848	scE2G_multiome	B.BMMC22_Transitional_B	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
dendritic	7	6	PBMC_10_cDC	10	100	21	0.333333333333333	0.285714285714286	0.857142857142857	scE2G_multiome	dendritic.PBMC_10_cDC	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	249	175	PBMC_11_CD14.Mono.1	10	100	1412	0.176345609065156	0.123937677053824	0.70281124497992	scE2G_multiome	monocyte.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
macrophage	37	27	PBMC_11_CD14.Mono.1	10	100	271	0.136531365313653	0.0996309963099631	0.72972972972973	scE2G_multiome	macrophage.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte_CD14_pos	5	5	PBMC_11_CD14.Mono.1	10	100	22	0.227272727272727	0.227272727272727	1	scE2G_multiome	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	256	190	PBMC_12_CD14.Mono.2	10	100	1412	0.181303116147309	0.134560906515581	0.7421875	scE2G_multiome	monocyte.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
macrophage	35	27	PBMC_12_CD14.Mono.2	10	100	271	0.129151291512915	0.0996309963099631	0.771428571428571	scE2G_multiome	macrophage.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte_CD14_pos	5	5	PBMC_12_CD14.Mono.2	10	100	22	0.227272727272727	0.227272727272727	1	scE2G_multiome	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte	233	150	PBMC_13_CD16.Mono	10	100	1412	0.165014164305949	0.106232294617564	0.643776824034335	scE2G_multiome	monocyte.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
monocyte_CD16_pos	33	20	PBMC_13_CD16.Mono	10	100	232	0.142241379310345	0.0862068965517242	0.606060606060606	scE2G_multiome	monocyte_CD16_pos.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
macrophage	33	19	PBMC_13_CD16.Mono	10	100	271	0.121771217712177	0.0701107011070111	0.575757575757576	scE2G_multiome	macrophage.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
B	33	26	PBMC_17_B	10	100	256	0.12890625	0.1015625	0.787878787878788	scE2G_multiome	B.PBMC_17_B	scE2G (Multiome)	#792374	21-1920 variants	10-100 Kb	64-64 biosample pairs
