feature	coefficient	test_chr	cluster	cell_count	atac_frag_per_cell	rna_umi_per_cell	log10_total_frag	log10_total_umi
numCandidateEnhGene	-0.0444484331111858	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
ABC.Score	1.02390053529861	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
numTSSEnhGene	-1.42785284700675	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
normalizedATAC_prom	-1.32297887742731	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numNearbyEnhancers	0.113317249929745	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
ubiqExpressed	-0.290219979851255	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numCandidateEnhGene	0.028478652430002	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
ABC.Score	1.24078069575721	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numTSSEnhGene	-1.42747576232909	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
normalizedATAC_prom	-0.950893710089562	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
numNearbyEnhancers	0.126275898230963	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
ubiqExpressed	-0.329723119661346	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
numCandidateEnhGene	0.223326958001621	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
ABC.Score	1.53772388362814	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
numTSSEnhGene	-1.69259996572781	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
normalizedATAC_prom	-1.56447707749925	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
numNearbyEnhancers	0.200956554354319	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
ubiqExpressed	-0.342585145542163	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
numCandidateEnhGene	0.571070253191219	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
ABC.Score	1.84887928843398	none	atac_30000_rna_15000_cells_100	100	30000	15000	6.47712125471966	6.17609125905568
numTSSEnhGene	-1.57559270057906	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
normalizedATAC_prom	-1.1294526883355	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
numNearbyEnhancers	0.0978559510486186	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
ubiqExpressed	-0.34699777597505	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
numCandidateEnhGene	0.326496163112725	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
ABC.Score	1.55740084458333	none	atac_33387_rna_16694_cells_100	100	33387	16694	6.52357739713225	6.22256040916522
numTSSEnhGene	-1.26643807697696	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
normalizedATAC_prom	-0.824381524614433	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
numNearbyEnhancers	0.0775868106298537	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
ubiqExpressed	-0.291215424750723	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
numCandidateEnhGene	-0.100716563133894	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
ABC.Score	1.01092287593137	none	atac_1000_rna_500_cells_200	200	1000	500	5.30102999566398	5
numTSSEnhGene	-1.45895952480941	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
normalizedATAC_prom	-1.15813672059579	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
numNearbyEnhancers	0.121520265870403	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
ubiqExpressed	-0.310557679062947	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
numCandidateEnhGene	-0.181767075013794	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
ABC.Score	0.873201581659638	none	atac_2000_rna_1000_cells_200	200	2000	1000	5.60205999132796	5.30102999566398
numTSSEnhGene	-1.42819965027262	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
normalizedATAC_prom	-1.02736992899375	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
numNearbyEnhancers	0.110628801601423	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
ubiqExpressed	-0.339761349725108	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
numCandidateEnhGene	0.0570626314470758	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
ABC.Score	1.28222498746276	none	atac_4000_rna_2000_cells_200	200	4000	2000	5.90308998699194	5.60205999132796
numTSSEnhGene	-1.52005306430067	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
normalizedATAC_prom	-1.38338221583305	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
numNearbyEnhancers	0.168699316772954	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
ubiqExpressed	-0.329186415607212	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
numCandidateEnhGene	0.254639047496461	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
ABC.Score	1.52174839432933	none	atac_10000_rna_5000_cells_200	200	10000	5000	6.30102999566398	6
numTSSEnhGene	-1.54190107485974	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
normalizedATAC_prom	-1.3150008196142	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
numNearbyEnhancers	0.13685245587507	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
ubiqExpressed	-0.33201517875224	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
numCandidateEnhGene	0.318324173834823	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
ABC.Score	1.5839146172132	none	atac_20000_rna_10000_cells_200	200	20000	10000	6.60205999132796	6.30102999566398
numTSSEnhGene	-1.58867951919884	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
normalizedATAC_prom	-1.38530723598153	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
numNearbyEnhancers	0.120459706567246	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
ubiqExpressed	-0.314946938808836	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
numCandidateEnhGene	0.444196564878749	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
ABC.Score	1.74421741301174	none	atac_30000_rna_15000_cells_200	200	30000	15000	6.77815125038364	6.47712125471966
numTSSEnhGene	-1.60053920243995	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
normalizedATAC_prom	-1.27338805091586	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
numNearbyEnhancers	0.146645441528066	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
ubiqExpressed	-0.337054447580768	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
numCandidateEnhGene	0.504498910702614	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
ABC.Score	1.83612656831119	none	atac_33387_rna_16694_cells_200	200	33387	16694	6.82460739279624	6.5235904048292
numTSSEnhGene	-1.56823088130472	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
normalizedATAC_prom	-1.46077057124053	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
numNearbyEnhancers	0.167528314975825	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
ubiqExpressed	-0.314859668546488	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
numCandidateEnhGene	-0.154972790073425	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
ABC.Score	0.841533676035375	none	atac_1000_rna_500_cells_500	500	1000	500	5.69897000433602	5.39794000867204
numTSSEnhGene	-1.52825639530898	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
normalizedATAC_prom	-1.43521104888561	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
numNearbyEnhancers	0.159817963289264	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
ubiqExpressed	-0.284595876784761	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
numCandidateEnhGene	0.185554955481111	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
ABC.Score	1.30556549257804	none	atac_2000_rna_1000_cells_500	500	2000	1000	6	5.69897000433602
numTSSEnhGene	-1.51792834998593	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
normalizedATAC_prom	-1.2671050450208	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
numNearbyEnhancers	0.0721274272217182	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
ubiqExpressed	-0.338312969538135	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
numCandidateEnhGene	0.245550895893232	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
ABC.Score	1.49366157784058	none	atac_4000_rna_2000_cells_500	500	4000	2000	6.30102999566398	6
numTSSEnhGene	-1.49976605022148	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
normalizedATAC_prom	-1.24430229735275	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
numNearbyEnhancers	0.103412703009859	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
ubiqExpressed	-0.343887440222183	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
numCandidateEnhGene	0.336243834194178	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
ABC.Score	1.68435737740704	none	atac_10000_rna_5000_cells_500	500	10000	5000	6.69897000433602	6.39794000867204
numTSSEnhGene	-1.57336949547185	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
normalizedATAC_prom	-1.21955656012719	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
numNearbyEnhancers	0.170986625507788	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
ubiqExpressed	-0.320483708337829	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
numCandidateEnhGene	0.457253100022305	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
ABC.Score	1.8054685793653	none	atac_20000_rna_10000_cells_500	500	20000	10000	7	6.69897000433602
numTSSEnhGene	-1.58442794004994	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
normalizedATAC_prom	-1.35924818198568	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
numNearbyEnhancers	0.152169400738245	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
ubiqExpressed	-0.341376279603468	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
numCandidateEnhGene	0.401824900771472	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
ABC.Score	1.67137060264378	none	atac_30000_rna_15000_cells_500	500	30000	15000	7.17609125905568	6.8750612633917
numTSSEnhGene	-1.52611059539148	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
normalizedATAC_prom	-1.23318453440664	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
numNearbyEnhancers	0.157261256522051	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
ubiqExpressed	-0.334502310974915	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
numCandidateEnhGene	0.4588097952241	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
ABC.Score	1.85631710854927	none	atac_33387_rna_16694_cells_500	500	33387	16694	7.22254740146827	6.92153041350124
numTSSEnhGene	-1.52253073675079	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
normalizedATAC_prom	-1.29564872279144	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
numNearbyEnhancers	0.244985249021092	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
ubiqExpressed	-0.330768493466471	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
numCandidateEnhGene	0.0669223373805144	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
ABC.Score	1.21476837565808	none	atac_1000_rna_500_cells_1000	1000	1000	500	6	5.69897000433602
numTSSEnhGene	-1.5487733510373	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
normalizedATAC_prom	-1.36685055136774	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
numNearbyEnhancers	0.120696234691605	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
ubiqExpressed	-0.317924146739468	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
numCandidateEnhGene	0.32334504141126	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
ABC.Score	1.56085285014809	none	atac_2000_rna_1000_cells_1000	1000	2000	1000	6.30102999566398	6
numTSSEnhGene	-1.50624921923703	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
normalizedATAC_prom	-1.36871636120643	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
numNearbyEnhancers	0.143632952875663	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
ubiqExpressed	-0.336471017854786	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
numCandidateEnhGene	0.342324725193054	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
ABC.Score	1.68020295640925	none	atac_4000_rna_2000_cells_1000	1000	4000	2000	6.60205999132796	6.30102999566398
numTSSEnhGene	-1.5939666520257	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
normalizedATAC_prom	-1.2913339587411	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
numNearbyEnhancers	0.164310824627412	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
ubiqExpressed	-0.31933960762732	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
numCandidateEnhGene	0.495309102545548	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
ABC.Score	1.86054146846374	none	atac_10000_rna_5000_cells_1000	1000	10000	5000	7	6.69897000433602
numTSSEnhGene	-1.49206034826188	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
normalizedATAC_prom	-1.28872920578468	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
numNearbyEnhancers	0.118549523664084	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
ubiqExpressed	-0.332223806159139	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
numCandidateEnhGene	0.44651457716908	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
ABC.Score	1.85543650970367	none	atac_20000_rna_10000_cells_1000	1000	20000	10000	7.30102999566398	7
numTSSEnhGene	-1.56732692231262	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
normalizedATAC_prom	-1.28163700758282	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
numNearbyEnhancers	0.166036725897739	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
ubiqExpressed	-0.344530822963074	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
numCandidateEnhGene	0.530221411152603	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
ABC.Score	1.92087697434659	none	atac_30000_rna_15000_cells_1000	1000	30000	15000	7.47712125471966	7.17609125905568
numTSSEnhGene	-1.57203749483207	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
normalizedATAC_prom	-1.41760952778398	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
numNearbyEnhancers	0.157025834071949	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
ubiqExpressed	-0.331640867841572	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
numCandidateEnhGene	0.472163006108572	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
ABC.Score	1.81009695202614	none	atac_33387_rna_16694_cells_1000	1000	33387	16694	7.52357739713225	7.22256040916522
numTSSEnhGene	-1.48740944454939	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
normalizedATAC_prom	-1.07068024751042	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
numNearbyEnhancers	0.117221637798231	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
ubiqExpressed	-0.331894805015899	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
numCandidateEnhGene	0.304295760910114	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
ABC.Score	1.63583992952836	none	atac_1000_rna_500_cells_2000	2000	1000	500	6.30102999566398	6
numTSSEnhGene	-1.59367103757215	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
normalizedATAC_prom	-1.28794287900282	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
numNearbyEnhancers	0.141381486843088	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
ubiqExpressed	-0.344599244466843	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
numCandidateEnhGene	0.51129603359912	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
ABC.Score	1.86015430043972	none	atac_2000_rna_1000_cells_2000	2000	2000	1000	6.60205999132796	6.30102999566398
numTSSEnhGene	-1.56716106116275	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
normalizedATAC_prom	-1.43834118798949	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
numNearbyEnhancers	0.13510357450834	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
ubiqExpressed	-0.331679934320435	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
numCandidateEnhGene	0.309347402275707	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
ABC.Score	1.56973939443269	none	atac_4000_rna_2000_cells_2000	2000	4000	2000	6.90308998699194	6.60205999132796
numTSSEnhGene	-1.491080526442	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
normalizedATAC_prom	-1.23015123971923	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
numNearbyEnhancers	0.17524028486754	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
ubiqExpressed	-0.30905346027309	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
numCandidateEnhGene	0.418131806942268	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
ABC.Score	1.84152781123012	none	atac_10000_rna_5000_cells_2000	2000	10000	5000	7.30102999566398	7
numTSSEnhGene	-1.54692099299164	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
normalizedATAC_prom	-1.31763470037989	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
numNearbyEnhancers	0.143840910352665	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
ubiqExpressed	-0.31368982493987	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
numCandidateEnhGene	0.433315818819427	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
ABC.Score	1.79675690083531	none	atac_20000_rna_10000_cells_2000	2000	20000	10000	7.60205999132796	7.30102999566398
numTSSEnhGene	-1.53819114495217	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
normalizedATAC_prom	-1.23569877322583	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
numNearbyEnhancers	0.188060375020158	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
ubiqExpressed	-0.339629081374857	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
numCandidateEnhGene	0.484237318328265	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
ABC.Score	1.89453137897673	none	atac_30000_rna_15000_cells_2000	2000	30000	15000	7.77815125038364	7.47712125471966
numTSSEnhGene	-1.58124111636904	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
normalizedATAC_prom	-1.28539237305528	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
numNearbyEnhancers	0.164005369659468	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
ubiqExpressed	-0.329516951008792	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
numCandidateEnhGene	0.51987530168205	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
ABC.Score	1.89170480563144	none	atac_33387_rna_16694_cells_2000	2000	33387	16694	7.82460739279624	7.52359040482921
numTSSEnhGene	-1.54954308790766	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
normalizedATAC_prom	-1.18819624496869	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
numNearbyEnhancers	0.152923859328004	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
ubiqExpressed	-0.325182288641063	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
numCandidateEnhGene	0.374720730415538	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
ABC.Score	1.72957276487641	none	atac_1000_rna_500_cells_5000	5000	1000	500	6.69897000433602	6.39794000867204
numTSSEnhGene	-1.55957298682584	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
normalizedATAC_prom	-1.15657678711475	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
numNearbyEnhancers	0.155511544513121	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
ubiqExpressed	-0.342169668978846	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
numCandidateEnhGene	0.474749335271294	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
ABC.Score	1.87552315053755	none	atac_2000_rna_1000_cells_5000	5000	2000	1000	7	6.69897000433602
numTSSEnhGene	-1.50002511438893	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
normalizedATAC_prom	-1.13128996357102	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
numNearbyEnhancers	0.13614148216262	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
ubiqExpressed	-0.34959786993458	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
numCandidateEnhGene	0.473063487460511	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
ABC.Score	1.90061046342822	none	atac_4000_rna_2000_cells_5000	5000	4000	2000	7.30102999566398	7
numTSSEnhGene	-1.56132304526318	none	atac_10000_rna_5000_cells_5000	5000	10000	5000	7.69897000433602	7.39794000867204
normalizedATAC_prom	-1.4042822820669	none	atac_10000_rna_5000_cells_5000	5000	10000	5000	7.69897000433602	7.39794000867204
numNearbyEnhancers	0.185104670568385	none	atac_10000_rna_5000_cells_5000	5000	10000	5000	7.69897000433602	7.39794000867204
ubiqExpressed	-0.330465767757511	none	atac_10000_rna_5000_cells_5000	5000	10000	5000	7.69897000433602	7.39794000867204
numCandidateEnhGene	0.500202429558221	none	atac_10000_rna_5000_cells_5000	5000	10000	5000	7.69897000433602	7.39794000867204
