feature	coefficient	test_chr	cluster	cell_count	atac_frag_per_cell	total_frag
normalizedATAC_prom	-1.21162166474269	none	5000_cells_all_atac	5000	33387	166935000
numNearbyEnhancers	0.189984514909348	none	5000_cells_all_atac	5000	33387	166935000
ubiqExpressed	-0.309060957613598	none	5000_cells_all_atac	5000	33387	166935000
numCandidateEnhGene	0.336209531494415	none	5000_cells_all_atac	5000	33387	166935000
ABC.Score	1.62220468168657	none	5000_cells_all_atac	5000	33387	166935000
Kendall	0.840236885364712	none	5000_cells_all_atac	5000	33387	166935000
numTSSEnhGene	-1.51531508091676	none	5000_cells_30000_atac	5000	30000	150000000
normalizedATAC_prom	-1.20270959146813	none	5000_cells_30000_atac	5000	30000	150000000
numNearbyEnhancers	0.188149695351813	none	5000_cells_30000_atac	5000	30000	150000000
ubiqExpressed	-0.316222982819409	none	5000_cells_30000_atac	5000	30000	150000000
numCandidateEnhGene	0.376272991345831	none	5000_cells_30000_atac	5000	30000	150000000
ABC.Score	1.69757342564411	none	5000_cells_30000_atac	5000	30000	150000000
Kendall	0.855654185298028	none	5000_cells_30000_atac	5000	30000	150000000
numTSSEnhGene	-1.57693371679329	none	5000_cells_20000_atac	5000	20000	100000000
normalizedATAC_prom	-1.26041759216126	none	5000_cells_20000_atac	5000	20000	100000000
numNearbyEnhancers	0.194821843372783	none	5000_cells_20000_atac	5000	20000	100000000
ubiqExpressed	-0.326363137771613	none	5000_cells_20000_atac	5000	20000	100000000
numCandidateEnhGene	0.474433749748112	none	5000_cells_20000_atac	5000	20000	100000000
ABC.Score	1.78235527386096	none	5000_cells_20000_atac	5000	20000	100000000
Kendall	0.679013424029827	none	5000_cells_20000_atac	5000	20000	100000000
numTSSEnhGene	-1.58225524001547	none	5000_cells_10000_atac	5000	10000	50000000
normalizedATAC_prom	-1.31102619566678	none	5000_cells_10000_atac	5000	10000	50000000
numNearbyEnhancers	0.156799160909126	none	5000_cells_10000_atac	5000	10000	50000000
ubiqExpressed	-0.335036730679957	none	5000_cells_10000_atac	5000	10000	50000000
numCandidateEnhGene	0.437441311665511	none	5000_cells_10000_atac	5000	10000	50000000
ABC.Score	1.760866259793	none	5000_cells_10000_atac	5000	10000	50000000
Kendall	0.686437749958842	none	5000_cells_10000_atac	5000	10000	50000000
numTSSEnhGene	-1.58787013254384	none	5000_cells_4000_atac	5000	4000	20000000
normalizedATAC_prom	-1.36181960529442	none	5000_cells_4000_atac	5000	4000	20000000
numNearbyEnhancers	0.125034281529128	none	5000_cells_4000_atac	5000	4000	20000000
ubiqExpressed	-0.332018826044034	none	5000_cells_4000_atac	5000	4000	20000000
numCandidateEnhGene	0.466582620298606	none	5000_cells_4000_atac	5000	4000	20000000
ABC.Score	1.79969353406973	none	5000_cells_4000_atac	5000	4000	20000000
Kendall	0.0103765891246202	none	5000_cells_4000_atac	5000	4000	20000000
numTSSEnhGene	-1.56524437874882	none	5000_cells_2000_atac	5000	2000	10000000
normalizedATAC_prom	-1.35683959778305	none	5000_cells_2000_atac	5000	2000	10000000
numNearbyEnhancers	0.159674049833263	none	5000_cells_2000_atac	5000	2000	10000000
ubiqExpressed	-0.326483778460355	none	5000_cells_2000_atac	5000	2000	10000000
numCandidateEnhGene	0.484262127072162	none	5000_cells_2000_atac	5000	2000	10000000
ABC.Score	1.83138798508824	none	5000_cells_2000_atac	5000	2000	10000000
Kendall	0.143732614477919	none	5000_cells_2000_atac	5000	2000	10000000
numTSSEnhGene	-1.55036702684671	none	5000_cells_1000_atac	5000	1000	5000000
normalizedATAC_prom	-1.20087385981539	none	5000_cells_1000_atac	5000	1000	5000000
numNearbyEnhancers	0.194422139288812	none	5000_cells_1000_atac	5000	1000	5000000
ubiqExpressed	-0.338210208183227	none	5000_cells_1000_atac	5000	1000	5000000
numCandidateEnhGene	0.471805398379478	none	5000_cells_1000_atac	5000	1000	5000000
ABC.Score	1.84988797535905	none	5000_cells_1000_atac	5000	1000	5000000
Kendall	-0.0245042321416283	none	5000_cells_1000_atac	5000	1000	5000000
numTSSEnhGene	-1.55041243610884	none	2000_cells_all_atac	2000	33387	66774000
normalizedATAC_prom	-1.29617454275273	none	2000_cells_all_atac	2000	33387	66774000
numNearbyEnhancers	0.154394669756942	none	2000_cells_all_atac	2000	33387	66774000
ubiqExpressed	-0.319826386652777	none	2000_cells_all_atac	2000	33387	66774000
numCandidateEnhGene	0.412509098452154	none	2000_cells_all_atac	2000	33387	66774000
ABC.Score	1.74466417886342	none	2000_cells_all_atac	2000	33387	66774000
Kendall	0.601787251429685	none	2000_cells_all_atac	2000	33387	66774000
numTSSEnhGene	-1.53660633376722	none	2000_cells_30000_atac	2000	30000	60000000
normalizedATAC_prom	-1.27176568587324	none	2000_cells_30000_atac	2000	30000	60000000
numNearbyEnhancers	0.170321071353606	none	2000_cells_30000_atac	2000	30000	60000000
ubiqExpressed	-0.31607285142907	none	2000_cells_30000_atac	2000	30000	60000000
numCandidateEnhGene	0.414248232877884	none	2000_cells_30000_atac	2000	30000	60000000
ABC.Score	1.76227746472067	none	2000_cells_30000_atac	2000	30000	60000000
Kendall	0.530908801863137	none	2000_cells_30000_atac	2000	30000	60000000
numTSSEnhGene	-1.53133923876575	none	2000_cells_20000_atac	2000	20000	40000000
normalizedATAC_prom	-1.24681402033732	none	2000_cells_20000_atac	2000	20000	40000000
numNearbyEnhancers	0.146331508807391	none	2000_cells_20000_atac	2000	20000	40000000
ubiqExpressed	-0.321274203832355	none	2000_cells_20000_atac	2000	20000	40000000
numCandidateEnhGene	0.42140474288727	none	2000_cells_20000_atac	2000	20000	40000000
ABC.Score	1.79123282032496	none	2000_cells_20000_atac	2000	20000	40000000
Kendall	0.394288757927141	none	2000_cells_20000_atac	2000	20000	40000000
numTSSEnhGene	-1.56380814671143	none	2000_cells_10000_atac	2000	10000	20000000
normalizedATAC_prom	-1.24260531635686	none	2000_cells_10000_atac	2000	10000	20000000
numNearbyEnhancers	0.164995785673234	none	2000_cells_10000_atac	2000	10000	20000000
ubiqExpressed	-0.336542209385149	none	2000_cells_10000_atac	2000	10000	20000000
numCandidateEnhGene	0.414069194990619	none	2000_cells_10000_atac	2000	10000	20000000
ABC.Score	1.71930133068697	none	2000_cells_10000_atac	2000	10000	20000000
Kendall	0.289641077122717	none	2000_cells_10000_atac	2000	10000	20000000
numTSSEnhGene	-1.54019108309649	none	2000_cells_4000_atac	2000	4000	8000000
normalizedATAC_prom	-1.20904737688915	none	2000_cells_4000_atac	2000	4000	8000000
numNearbyEnhancers	0.113470170029157	none	2000_cells_4000_atac	2000	4000	8000000
ubiqExpressed	-0.325111828302035	none	2000_cells_4000_atac	2000	4000	8000000
numCandidateEnhGene	0.321737754144219	none	2000_cells_4000_atac	2000	4000	8000000
ABC.Score	1.60840184935097	none	2000_cells_4000_atac	2000	4000	8000000
Kendall	0.164930554645175	none	2000_cells_4000_atac	2000	4000	8000000
numTSSEnhGene	-1.54436717161597	none	2000_cells_2000_atac	2000	2000	4000000
normalizedATAC_prom	-1.0400730378698	none	2000_cells_2000_atac	2000	2000	4000000
numNearbyEnhancers	0.102205902639158	none	2000_cells_2000_atac	2000	2000	4000000
ubiqExpressed	-0.339062484121043	none	2000_cells_2000_atac	2000	2000	4000000
numCandidateEnhGene	0.303540110947999	none	2000_cells_2000_atac	2000	2000	4000000
ABC.Score	1.54590893410222	none	2000_cells_2000_atac	2000	2000	4000000
Kendall	0.0326127055198256	none	2000_cells_2000_atac	2000	2000	4000000
numTSSEnhGene	-1.51372432701068	none	2000_cells_1000_atac	2000	1000	2000000
normalizedATAC_prom	-1.00219431398597	none	2000_cells_1000_atac	2000	1000	2000000
numNearbyEnhancers	0.0693875240543832	none	2000_cells_1000_atac	2000	1000	2000000
ubiqExpressed	-0.350777302365856	none	2000_cells_1000_atac	2000	1000	2000000
numCandidateEnhGene	0.300928742847736	none	2000_cells_1000_atac	2000	1000	2000000
ABC.Score	1.56522316206434	none	2000_cells_1000_atac	2000	1000	2000000
Kendall	-0.0696609524339707	none	2000_cells_1000_atac	2000	1000	2000000
numTSSEnhGene	-1.53956835363607	none	1000_cells_all_atac	1000	33387	33387000
normalizedATAC_prom	-1.29928843052371	none	1000_cells_all_atac	1000	33387	33387000
numNearbyEnhancers	0.156695954726	none	1000_cells_all_atac	1000	33387	33387000
ubiqExpressed	-0.318899576791212	none	1000_cells_all_atac	1000	33387	33387000
numCandidateEnhGene	0.37218174212441	none	1000_cells_all_atac	1000	33387	33387000
ABC.Score	1.69479670729904	none	1000_cells_all_atac	1000	33387	33387000
Kendall	0.392574211916954	none	1000_cells_all_atac	1000	33387	33387000
numTSSEnhGene	-1.53776056134274	none	1000_cells_30000_atac	1000	30000	30000000
normalizedATAC_prom	-1.27864819129735	none	1000_cells_30000_atac	1000	30000	30000000
numNearbyEnhancers	0.151679885521641	none	1000_cells_30000_atac	1000	30000	30000000
ubiqExpressed	-0.31888322329714	none	1000_cells_30000_atac	1000	30000	30000000
numCandidateEnhGene	0.367530255862625	none	1000_cells_30000_atac	1000	30000	30000000
ABC.Score	1.67670172760555	none	1000_cells_30000_atac	1000	30000	30000000
Kendall	0.464872800235267	none	1000_cells_30000_atac	1000	30000	30000000
numTSSEnhGene	-1.53553942308917	none	1000_cells_20000_atac	1000	20000	20000000
normalizedATAC_prom	-1.26612160847295	none	1000_cells_20000_atac	1000	20000	20000000
numNearbyEnhancers	0.142245494818871	none	1000_cells_20000_atac	1000	20000	20000000
ubiqExpressed	-0.329355693030755	none	1000_cells_20000_atac	1000	20000	20000000
numCandidateEnhGene	0.401378761099613	none	1000_cells_20000_atac	1000	20000	20000000
ABC.Score	1.76434829170843	none	1000_cells_20000_atac	1000	20000	20000000
Kendall	0.10633261943447	none	1000_cells_20000_atac	1000	20000	20000000
numTSSEnhGene	-1.55877017896903	none	1000_cells_10000_atac	1000	10000	10000000
normalizedATAC_prom	-1.34276888768294	none	1000_cells_10000_atac	1000	10000	10000000
numNearbyEnhancers	0.145841026629565	none	1000_cells_10000_atac	1000	10000	10000000
ubiqExpressed	-0.326825057341357	none	1000_cells_10000_atac	1000	10000	10000000
numCandidateEnhGene	0.354173173303525	none	1000_cells_10000_atac	1000	10000	10000000
ABC.Score	1.66023570462463	none	1000_cells_10000_atac	1000	10000	10000000
Kendall	0.179431354726373	none	1000_cells_10000_atac	1000	10000	10000000
numTSSEnhGene	-1.49352463893544	none	1000_cells_4000_atac	1000	4000	4000000
normalizedATAC_prom	-1.19837971741912	none	1000_cells_4000_atac	1000	4000	4000000
numNearbyEnhancers	0.158823099327088	none	1000_cells_4000_atac	1000	4000	4000000
ubiqExpressed	-0.318844758836359	none	1000_cells_4000_atac	1000	4000	4000000
numCandidateEnhGene	0.346098711875031	none	1000_cells_4000_atac	1000	4000	4000000
ABC.Score	1.70341674539408	none	1000_cells_4000_atac	1000	4000	4000000
Kendall	-0.103353751390231	none	1000_cells_4000_atac	1000	4000	4000000
numTSSEnhGene	-1.42251705199105	none	1000_cells_2000_atac	1000	2000	2000000
normalizedATAC_prom	-1.40147333446275	none	1000_cells_2000_atac	1000	2000	2000000
numNearbyEnhancers	0.0797537536047665	none	1000_cells_2000_atac	1000	2000	2000000
ubiqExpressed	-0.320240790283677	none	1000_cells_2000_atac	1000	2000	2000000
numCandidateEnhGene	0.224676840773733	none	1000_cells_2000_atac	1000	2000	2000000
ABC.Score	1.54939668391521	none	1000_cells_2000_atac	1000	2000	2000000
Kendall	-0.106890581800208	none	1000_cells_2000_atac	1000	2000	2000000
numTSSEnhGene	-1.53197514453866	none	1000_cells_1000_atac	1000	1000	1000000
normalizedATAC_prom	-0.794755091478326	none	1000_cells_1000_atac	1000	1000	1000000
numNearbyEnhancers	0.136154887597672	none	1000_cells_1000_atac	1000	1000	1000000
ubiqExpressed	-0.318252181270436	none	1000_cells_1000_atac	1000	1000	1000000
numCandidateEnhGene	0.191507966410691	none	1000_cells_1000_atac	1000	1000	1000000
ABC.Score	1.39945498743204	none	1000_cells_1000_atac	1000	1000	1000000
Kendall	-0.0938973498386927	none	1000_cells_1000_atac	1000	1000	1000000
numTSSEnhGene	-1.59861713693534	none	500_cells_all_atac	500	33387	16693500
normalizedATAC_prom	-1.40098914977423	none	500_cells_all_atac	500	33387	16693500
numNearbyEnhancers	0.140919068067765	none	500_cells_all_atac	500	33387	16693500
ubiqExpressed	-0.328494851254271	none	500_cells_all_atac	500	33387	16693500
numCandidateEnhGene	0.444862209866767	none	500_cells_all_atac	500	33387	16693500
ABC.Score	1.76100836627095	none	500_cells_all_atac	500	33387	16693500
Kendall	0.292984556923664	none	500_cells_all_atac	500	33387	16693500
numTSSEnhGene	-1.56137385013133	none	500_cells_30000_atac	500	30000	15000000
normalizedATAC_prom	-1.37829879657105	none	500_cells_30000_atac	500	30000	15000000
numNearbyEnhancers	0.137371051846159	none	500_cells_30000_atac	500	30000	15000000
ubiqExpressed	-0.337967316104377	none	500_cells_30000_atac	500	30000	15000000
numCandidateEnhGene	0.419510947371684	none	500_cells_30000_atac	500	30000	15000000
ABC.Score	1.7455086608245	none	500_cells_30000_atac	500	30000	15000000
Kendall	0.316504748074309	none	500_cells_30000_atac	500	30000	15000000
numTSSEnhGene	-1.53633657783732	none	500_cells_20000_atac	500	20000	10000000
normalizedATAC_prom	-1.36043679079385	none	500_cells_20000_atac	500	20000	10000000
numNearbyEnhancers	0.14149194375998	none	500_cells_20000_atac	500	20000	10000000
ubiqExpressed	-0.331827973469562	none	500_cells_20000_atac	500	20000	10000000
numCandidateEnhGene	0.353612161867027	none	500_cells_20000_atac	500	20000	10000000
ABC.Score	1.7152170845093	none	500_cells_20000_atac	500	20000	10000000
Kendall	0.187654640080073	none	500_cells_20000_atac	500	20000	10000000
numTSSEnhGene	-1.59420991775718	none	500_cells_10000_atac	500	10000	5000000
normalizedATAC_prom	-1.37900814871341	none	500_cells_10000_atac	500	10000	5000000
numNearbyEnhancers	0.115040737189516	none	500_cells_10000_atac	500	10000	5000000
ubiqExpressed	-0.330907912884174	none	500_cells_10000_atac	500	10000	5000000
numCandidateEnhGene	0.456098525109361	none	500_cells_10000_atac	500	10000	5000000
ABC.Score	1.79740876400102	none	500_cells_10000_atac	500	10000	5000000
Kendall	0.094338426797003	none	500_cells_10000_atac	500	10000	5000000
numTSSEnhGene	-1.53646708634454	none	500_cells_4000_atac	500	4000	2000000
normalizedATAC_prom	-1.36035268044053	none	500_cells_4000_atac	500	4000	2000000
numNearbyEnhancers	0.0774806167229553	none	500_cells_4000_atac	500	4000	2000000
ubiqExpressed	-0.345256134897454	none	500_cells_4000_atac	500	4000	2000000
numCandidateEnhGene	0.311125079013298	none	500_cells_4000_atac	500	4000	2000000
ABC.Score	1.61067290285723	none	500_cells_4000_atac	500	4000	2000000
Kendall	0.0404672328286453	none	500_cells_4000_atac	500	4000	2000000
numTSSEnhGene	-1.50282627097736	none	500_cells_2000_atac	500	2000	1000000
normalizedATAC_prom	-1.1643745099135	none	500_cells_2000_atac	500	2000	1000000
numNearbyEnhancers	0.142506285862862	none	500_cells_2000_atac	500	2000	1000000
ubiqExpressed	-0.308930042190521	none	500_cells_2000_atac	500	2000	1000000
numCandidateEnhGene	0.247753236027846	none	500_cells_2000_atac	500	2000	1000000
ABC.Score	1.52908720153155	none	500_cells_2000_atac	500	2000	1000000
Kendall	-0.202849292945841	none	500_cells_2000_atac	500	2000	1000000
numTSSEnhGene	-1.41428272037442	none	500_cells_1000_atac	500	1000	500000
normalizedATAC_prom	-0.852115581141351	none	500_cells_1000_atac	500	1000	500000
numNearbyEnhancers	0.115037698138942	none	500_cells_1000_atac	500	1000	500000
ubiqExpressed	-0.302822736372119	none	500_cells_1000_atac	500	1000	500000
numCandidateEnhGene	-0.00416236624944867	none	500_cells_1000_atac	500	1000	500000
ABC.Score	1.19210363672915	none	500_cells_1000_atac	500	1000	500000
Kendall	-0.195736091650831	none	500_cells_1000_atac	500	1000	500000
numTSSEnhGene	-1.55750356827429	none	200_cells_all_atac	200	33387	6677400
normalizedATAC_prom	-1.43474021575167	none	200_cells_all_atac	200	33387	6677400
numNearbyEnhancers	0.0997899586150382	none	200_cells_all_atac	200	33387	6677400
ubiqExpressed	-0.332872041843788	none	200_cells_all_atac	200	33387	6677400
numCandidateEnhGene	0.399047479379827	none	200_cells_all_atac	200	33387	6677400
ABC.Score	1.71505570545553	none	200_cells_all_atac	200	33387	6677400
Kendall	0.0208938961068213	none	200_cells_all_atac	200	33387	6677400
numTSSEnhGene	-1.53934019409193	none	200_cells_30000_atac	200	30000	6000000
normalizedATAC_prom	-1.42062954899097	none	200_cells_30000_atac	200	30000	6000000
numNearbyEnhancers	0.093144890439069	none	200_cells_30000_atac	200	30000	6000000
ubiqExpressed	-0.340611261616458	none	200_cells_30000_atac	200	30000	6000000
numCandidateEnhGene	0.336571381123999	none	200_cells_30000_atac	200	30000	6000000
ABC.Score	1.63807728014603	none	200_cells_30000_atac	200	30000	6000000
Kendall	0.0702032131816818	none	200_cells_30000_atac	200	30000	6000000
numTSSEnhGene	-1.56377089170895	none	200_cells_20000_atac	200	20000	4000000
normalizedATAC_prom	-1.28802462672934	none	200_cells_20000_atac	200	20000	4000000
numNearbyEnhancers	0.103877656390773	none	200_cells_20000_atac	200	20000	4000000
ubiqExpressed	-0.329405059525551	none	200_cells_20000_atac	200	20000	4000000
numCandidateEnhGene	0.369377561888565	none	200_cells_20000_atac	200	20000	4000000
ABC.Score	1.66293821025741	none	200_cells_20000_atac	200	20000	4000000
Kendall	-0.0484176888277224	none	200_cells_20000_atac	200	20000	4000000
numTSSEnhGene	-1.55207090571661	none	200_cells_10000_atac	200	10000	2000000
normalizedATAC_prom	-1.22677265633985	none	200_cells_10000_atac	200	10000	2000000
numNearbyEnhancers	0.135281420461061	none	200_cells_10000_atac	200	10000	2000000
ubiqExpressed	-0.325144068449325	none	200_cells_10000_atac	200	10000	2000000
numCandidateEnhGene	0.168057381309062	none	200_cells_10000_atac	200	10000	2000000
ABC.Score	1.36148421671884	none	200_cells_10000_atac	200	10000	2000000
Kendall	0.00874259480157902	none	200_cells_10000_atac	200	10000	2000000
numTSSEnhGene	-1.47846062245922	none	200_cells_4000_atac	200	4000	800000
normalizedATAC_prom	-1.6925742183267	none	200_cells_4000_atac	200	4000	800000
numNearbyEnhancers	0.0729077744174709	none	200_cells_4000_atac	200	4000	800000
ubiqExpressed	-0.307763264110868	none	200_cells_4000_atac	200	4000	800000
numCandidateEnhGene	-0.0754141372523097	none	200_cells_4000_atac	200	4000	800000
ABC.Score	1.09484507704204	none	200_cells_4000_atac	200	4000	800000
Kendall	0.00630390343891366	none	200_cells_4000_atac	200	4000	800000
numTSSEnhGene	-1.52164773470229	none	200_cells_2000_atac	200	2000	400000
normalizedATAC_prom	-1.12637830761927	none	200_cells_2000_atac	200	2000	400000
numNearbyEnhancers	0.0823230740278387	none	200_cells_2000_atac	200	2000	400000
ubiqExpressed	-0.338563154617704	none	200_cells_2000_atac	200	2000	400000
numCandidateEnhGene	-0.146180656217758	none	200_cells_2000_atac	200	2000	400000
ABC.Score	0.934672411307161	none	200_cells_2000_atac	200	2000	400000
Kendall	0.0498673053359928	none	200_cells_2000_atac	200	2000	400000
numTSSEnhGene	-1.48015944425436	none	200_cells_1000_atac	200	1000	200000
normalizedATAC_prom	-0.522333240925386	none	200_cells_1000_atac	200	1000	200000
numNearbyEnhancers	0.114458544865429	none	200_cells_1000_atac	200	1000	200000
ubiqExpressed	-0.313734753676085	none	200_cells_1000_atac	200	1000	200000
numCandidateEnhGene	-0.0795888648404351	none	200_cells_1000_atac	200	1000	200000
ABC.Score	0.944292412046343	none	200_cells_1000_atac	200	1000	200000
Kendall	-0.057437417772017	none	200_cells_1000_atac	200	1000	200000
numTSSEnhGene	-1.48045934165998	none	100_cells_all_atac	100	33387	3338700
normalizedATAC_prom	-1.20081746976743	none	100_cells_all_atac	100	33387	3338700
numNearbyEnhancers	0.111009470764578	none	100_cells_all_atac	100	33387	3338700
ubiqExpressed	-0.328670771051142	none	100_cells_all_atac	100	33387	3338700
numCandidateEnhGene	0.323102102561555	none	100_cells_all_atac	100	33387	3338700
ABC.Score	1.68304817594349	none	100_cells_all_atac	100	33387	3338700
Kendall	0.055150169508965	none	100_cells_all_atac	100	33387	3338700
numTSSEnhGene	-1.5138616279016	none	100_cells_30000_atac	100	30000	3000000
normalizedATAC_prom	-1.20642343291781	none	100_cells_30000_atac	100	30000	3000000
numNearbyEnhancers	0.0807720535584911	none	100_cells_30000_atac	100	30000	3000000
ubiqExpressed	-0.32958771213987	none	100_cells_30000_atac	100	30000	3000000
numCandidateEnhGene	0.296499514897727	none	100_cells_30000_atac	100	30000	3000000
ABC.Score	1.60808556336025	none	100_cells_30000_atac	100	30000	3000000
Kendall	-0.097032797742718	none	100_cells_30000_atac	100	30000	3000000
numTSSEnhGene	-1.45805311926828	none	100_cells_20000_atac	100	20000	2000000
normalizedATAC_prom	-1.40798316194348	none	100_cells_20000_atac	100	20000	2000000
numNearbyEnhancers	0.190549341928347	none	100_cells_20000_atac	100	20000	2000000
ubiqExpressed	-0.307565712480965	none	100_cells_20000_atac	100	20000	2000000
numCandidateEnhGene	0.170348437587619	none	100_cells_20000_atac	100	20000	2000000
ABC.Score	1.47002622861736	none	100_cells_20000_atac	100	20000	2000000
Kendall	-0.0814712411145238	none	100_cells_20000_atac	100	20000	2000000
numTSSEnhGene	-1.39178767617474	none	100_cells_10000_atac	100	10000	1000000
normalizedATAC_prom	-1.10213781946305	none	100_cells_10000_atac	100	10000	1000000
numNearbyEnhancers	0.155275948040093	none	100_cells_10000_atac	100	10000	1000000
ubiqExpressed	-0.288415380896408	none	100_cells_10000_atac	100	10000	1000000
numCandidateEnhGene	0.017767416779072	none	100_cells_10000_atac	100	10000	1000000
ABC.Score	1.22908063313077	none	100_cells_10000_atac	100	10000	1000000
Kendall	0.0789321375804809	none	100_cells_10000_atac	100	10000	1000000
numTSSEnhGene	-1.49254329826369	none	100_cells_4000_atac	100	4000	400000
normalizedATAC_prom	-1.48876076181545	none	100_cells_4000_atac	100	4000	400000
numNearbyEnhancers	0.131872615720021	none	100_cells_4000_atac	100	4000	400000
ubiqExpressed	-0.351876321088455	none	100_cells_4000_atac	100	4000	400000
numCandidateEnhGene	-0.254038436073941	none	100_cells_4000_atac	100	4000	400000
ABC.Score	0.820347447956132	none	100_cells_4000_atac	100	4000	400000
Kendall	-0.20702538514528	none	100_cells_4000_atac	100	4000	400000
numTSSEnhGene	-1.401322404602	none	100_cells_2000_atac	100	2000	200000
normalizedATAC_prom	-0.899396785332311	none	100_cells_2000_atac	100	2000	200000
numNearbyEnhancers	0.126815628131164	none	100_cells_2000_atac	100	2000	200000
ubiqExpressed	-0.344707885013439	none	100_cells_2000_atac	100	2000	200000
numCandidateEnhGene	-0.391989325737127	none	100_cells_2000_atac	100	2000	200000
ABC.Score	0.624914038417626	none	100_cells_2000_atac	100	2000	200000
Kendall	-0.0219605336009097	none	100_cells_2000_atac	100	2000	200000
numTSSEnhGene	-1.82031683213345	none	100_cells_1000_atac	100	1000	100000
normalizedATAC_prom	0.345408099535558	none	100_cells_1000_atac	100	1000	100000
numNearbyEnhancers	-0.109311781862645	none	100_cells_1000_atac	100	1000	100000
ubiqExpressed	-0.283199996124016	none	100_cells_1000_atac	100	1000	100000
numCandidateEnhGene	0.249668655560878	none	100_cells_1000_atac	100	1000	100000
ABC.Score	0.893617852490605	none	100_cells_1000_atac	100	1000	100000
Kendall	-0.0935388881975486	none	100_cells_1000_atac	100	1000	100000
