method	metric	min_max	value
SnapATAC	precision_linking_intersectPoPS	min	0
SnapATAC	precision_linking_intersectPoPS	max	1
SnapATAC	precision_linking	min	0
SnapATAC	precision_linking	max	1
SnapATAC	recall_linking_intersectPoPS	min	0
SnapATAC	recall_linking_intersectPoPS	max	0.222222222222222
SnapATAC	recall_linking	min	0
SnapATAC	recall_linking	max	0.235294117647059
Signac	enrichment_overlap	min	1.58922306139558
Signac	enrichment_overlap	max	22.1326942972708
Signac	recall_overlap	min	0.00101419878296146
Signac	recall_overlap	max	0.392405063291139
Signac	precision_linking_intersectPoPS	min	0
Signac	precision_linking_intersectPoPS	max	1
Signac	precision_linking	min	0
Signac	precision_linking	max	1
Signac	recall_linking_intersectPoPS	min	0
Signac	recall_linking_intersectPoPS	max	0.117647058823529
Signac	recall_linking	min	0
Signac	recall_linking	max	0.222222222222222
Cicero	enrichment_overlap	min	2.28436950973006
Cicero	enrichment_overlap	max	37.7966762257654
Cicero	recall_overlap	min	0.00104931794333683
Cicero	recall_overlap	max	0.0952380952380952
Cicero	precision_linking_intersectPoPS	min	0
Cicero	precision_linking_intersectPoPS	max	1
Cicero	precision_linking	min	0
Cicero	precision_linking	max	1
Cicero	recall_linking_intersectPoPS	min	0
Cicero	recall_linking_intersectPoPS	max	0.222222222222222
Cicero	recall_linking	min	0
Cicero	recall_linking	max	0.222222222222222
FigR	enrichment_overlap	min	1.54398595122068
FigR	enrichment_overlap	max	23.1544475565343
FigR	recall_overlap	min	0.000709219858156028
FigR	recall_overlap	max	0.316455696202532
FigR	precision_linking_intersectPoPS	min	0
FigR	precision_linking_intersectPoPS	max	1
FigR	precision_linking	min	0
FigR	precision_linking	max	1
FigR	recall_linking_intersectPoPS	min	0
FigR	recall_linking_intersectPoPS	max	0.222222222222222
FigR	recall_linking	min	0
FigR	recall_linking	max	0.222222222222222
ScenicPlus	enrichment_overlap	min	1.53588811871843
ScenicPlus	enrichment_overlap	max	25.1087824574119
ScenicPlus	recall_overlap	min	0.000709219858156028
ScenicPlus	recall_overlap	max	0.379746835443038
ScenicPlus	precision_linking_intersectPoPS	min	0
ScenicPlus	precision_linking_intersectPoPS	max	1
ScenicPlus	precision_linking	min	0
ScenicPlus	precision_linking	max	1
ScenicPlus	recall_linking_intersectPoPS	min	0
ScenicPlus	recall_linking_intersectPoPS	max	0.205882352941176
ScenicPlus	recall_linking	min	0
ScenicPlus	recall_linking	max	0.264705882352941
DIRECTNET	enrichment_overlap	min	1.58455478121592
DIRECTNET	enrichment_overlap	max	20.959392374794
DIRECTNET	recall_overlap	min	0.00120336943441637
DIRECTNET	recall_overlap	max	0.372093023255814
DIRECTNET	precision_linking_intersectPoPS	min	0
DIRECTNET	precision_linking_intersectPoPS	max	1
DIRECTNET	precision_linking	min	0
DIRECTNET	precision_linking	max	1
DIRECTNET	recall_linking_intersectPoPS	min	0
DIRECTNET	recall_linking_intersectPoPS	max	0.235294117647059
DIRECTNET	recall_linking	min	0
DIRECTNET	recall_linking	max	0.323529411764706
ArchR	enrichment_overlap	min	1.9284150990473
ArchR	enrichment_overlap	max	33.5775644525901
ArchR	recall_overlap	min	0.000455580865603645
ArchR	recall_overlap	max	0.234042553191489
ArchR	precision_linking_intersectPoPS	min	0
ArchR	precision_linking_intersectPoPS	max	1
ArchR	precision_linking	min	0
ArchR	precision_linking	max	1
ArchR	recall_linking_intersectPoPS	min	0
ArchR	recall_linking_intersectPoPS	max	0.235294117647059
ArchR	recall_linking	min	0
ArchR	recall_linking	max	0.444444444444444
SCENT	enrichment_overlap	min	2.18197373891655
SCENT	enrichment_overlap	max	33.4588964679146
SCENT	recall_overlap	min	0.00121802679658952
SCENT	recall_overlap	max	0.186046511627907
SCENT	precision_linking_intersectPoPS	min	0
SCENT	precision_linking_intersectPoPS	max	1
SCENT	precision_linking	min	0
SCENT	precision_linking	max	1
SCENT	recall_linking_intersectPoPS	min	0
SCENT	recall_linking_intersectPoPS	max	0.153846153846154
SCENT	recall_linking	min	0
SCENT	recall_linking	max	0.2
STARE	enrichment_overlap	min	1.47640075614224
STARE	enrichment_overlap	max	9.62792179408344
STARE	recall_overlap	min	0.00656455142231947
STARE	recall_overlap	max	0.394160583941606
STARE	precision_linking_intersectPoPS	min	0
STARE	precision_linking_intersectPoPS	max	1
STARE	precision_linking	min	0
STARE	precision_linking	max	1
STARE	recall_linking_intersectPoPS	min	0
STARE	recall_linking_intersectPoPS	max	0.555555555555556
STARE	recall_linking	min	0
STARE	recall_linking	max	0.555555555555556
