GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
spleen	20	12	K562	10	100	268	0.0746268656716418	0.0447761194029851	0.6	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	135	93	GM12878	10	100	1163	0.116079105760963	0.0799656061908856	0.688888888888889	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	37	29	BMMC5_B	10	100	256	0.14453125	0.11328125	0.783783783783784	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	23	18	BMMC5_T	10	100	134	0.171641791044776	0.134328358208955	0.782608695652174	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	8	6	BMMC5_Dendritic	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_multiome	dendritic.BMMC5_Dendritic	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	125	83	BMMC5_Erythroid	10	100	1464	0.0853825136612022	0.0566939890710383	0.664	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	31	24	PBMC5_B	10	100	256	0.12109375	0.09375	0.774193548387097	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	7	5	PBMC5_DC	10	100	21	0.333333333333333	0.238095238095238	0.714285714285714	scE2G_multiome	dendritic.PBMC5_DC	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	61	49	PBMC5_NK	10	100	370	0.164864864864865	0.132432432432432	0.80327868852459	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	20	15	PBMC5_T	10	100	134	0.149253731343284	0.111940298507463	0.75	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	14	5	K562	100	250	243	0.0576131687242798	0.0205761316872428	0.357142857142857	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
spleen	2	1	K562	100	250	47	0.0425531914893617	0.0212765957446809	0.5	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
LCL	19	14	GM12878	100	250	240	0.0791666666666667	0.0583333333333333	0.736842105263158	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
B	8	3	BMMC5_B	100	250	43	0.186046511627907	0.0697674418604651	0.375	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
T	3	1	BMMC5_T	100	250	27	0.111111111111111	0.037037037037037	0.333333333333333	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	11	3	BMMC5_Erythroid	100	250	243	0.0452674897119342	0.0123456790123457	0.272727272727273	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
B	4	2	PBMC5_B	100	250	43	0.0930232558139535	0.0465116279069768	0.5	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
NK	10	7	PBMC5_NK	100	250	59	0.169491525423729	0.11864406779661	0.7	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
T	2	1	PBMC5_T	100	250	27	0.0740740740740741	0.037037037037037	0.5	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	5	0	K562	250	1000	134	0.0373134328358209	0	0	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
spleen	1	0	K562	250	1000	35	0.0285714285714286	0	0	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
LCL	4	0	GM12878	250	1000	130	0.0307692307692308	0	0	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	5	1	BMMC5_B	250	1000	43	0.116279069767442	0.0232558139534884	0.2	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	6	1	BMMC5_Erythroid	250	1000	134	0.0447761194029851	0.00746268656716418	0.166666666666667	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	1	0	PBMC5_B	250	1000	43	0.0232558139534884	0	0	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
NK	3	1	PBMC5_NK	250	1000	44	0.0681818181818182	0.0227272727272727	0.333333333333333	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	350	274	K562	0	30000	2846	0.122979620520028	0.0962754743499649	0.782857142857143	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
spleen	71	54	K562	0	30000	618	0.114886731391586	0.087378640776699	0.76056338028169	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
LCL	384	317	GM12878	0	30000	2398	0.160133444537114	0.132193494578816	0.825520833333333	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
B	93	75	BMMC5_B	0	30000	498	0.186746987951807	0.150602409638554	0.806451612903226	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
T	64	53	BMMC5_T	0	30000	298	0.214765100671141	0.177852348993289	0.828125	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
dendritic	13	9	BMMC5_Dendritic	0	30000	35	0.371428571428571	0.257142857142857	0.692307692307692	scE2G_multiome	dendritic.BMMC5_Dendritic	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
blood	367	294	BMMC5_Erythroid	0	30000	2846	0.128952916373858	0.103302881236824	0.801089918256131	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
B	79	68	PBMC5_B	0	30000	498	0.15863453815261	0.136546184738956	0.860759493670886	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
dendritic	9	7	PBMC5_DC	0	30000	35	0.257142857142857	0.2	0.777777777777778	scE2G_multiome	dendritic.PBMC5_DC	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
NK	149	126	PBMC5_NK	0	30000	699	0.213161659513591	0.180257510729614	0.845637583892617	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
T	51	44	PBMC5_T	0	30000	298	0.171140939597315	0.147651006711409	0.862745098039216	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	35-2846 variants	All variants	11-11 biosample pairs
blood	274	258	K562	0	10	999	0.274274274274274	0.258258258258258	0.941605839416058	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	60	58	K562	0	10	266	0.225563909774436	0.218045112781955	0.966666666666667	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	258	252	GM12878	0	10	864	0.298611111111111	0.291666666666667	0.976744186046512	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
B	48	48	BMMC5_B	0	10	156	0.307692307692308	0.307692307692308	1	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
T	37	36	BMMC5_T	0	10	118	0.313559322033898	0.305084745762712	0.972972972972973	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	255	238	BMMC5_Erythroid	0	10	999	0.255255255255255	0.238238238238238	0.933333333333333	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
B	45	45	PBMC5_B	0	10	156	0.288461538461538	0.288461538461538	1	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	80	75	PBMC5_NK	0	10	226	0.353982300884956	0.331858407079646	0.9375	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
T	35	34	PBMC5_T	0	10	118	0.296610169491525	0.288135593220339	0.971428571428571	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	169	95	K562	10	100	1464	0.115437158469945	0.0648907103825137	0.562130177514793	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
spleen	31	21	K562	10	100	268	0.115671641791045	0.0783582089552239	0.67741935483871	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	166	112	GM12878	10	100	1163	0.142734307824592	0.0963026655202064	0.674698795180723	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	46	31	BMMC5_B	10	100	256	0.1796875	0.12109375	0.673913043478261	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	28	20	BMMC5_T	10	100	134	0.208955223880597	0.149253731343284	0.714285714285714	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	8	6	BMMC5_Dendritic	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_ATAC	dendritic.BMMC5_Dendritic	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	199	123	BMMC5_Erythroid	10	100	1464	0.135928961748634	0.084016393442623	0.618090452261307	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	37	27	PBMC5_B	10	100	256	0.14453125	0.10546875	0.72972972972973	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	9	6	PBMC5_DC	10	100	21	0.428571428571429	0.285714285714286	0.666666666666667	scE2G_ATAC	dendritic.PBMC5_DC	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	73	54	PBMC5_NK	10	100	370	0.197297297297297	0.145945945945946	0.73972602739726	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	26	19	PBMC5_T	10	100	134	0.194029850746269	0.141791044776119	0.730769230769231	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	26	7	K562	100	250	243	0.106995884773663	0.0288065843621399	0.269230769230769	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
spleen	2	1	K562	100	250	47	0.0425531914893617	0.0212765957446809	0.5	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
LCL	24	15	GM12878	100	250	240	0.1	0.0625	0.625	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
B	10	3	BMMC5_B	100	250	43	0.232558139534884	0.0697674418604651	0.3	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
T	4	1	BMMC5_T	100	250	27	0.148148148148148	0.037037037037037	0.25	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	22	4	BMMC5_Erythroid	100	250	243	0.0905349794238683	0.0164609053497942	0.181818181818182	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
B	5	2	PBMC5_B	100	250	43	0.116279069767442	0.0465116279069768	0.4	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
NK	11	8	PBMC5_NK	100	250	59	0.186440677966102	0.135593220338983	0.727272727272727	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
T	4	1	PBMC5_T	100	250	27	0.148148148148148	0.037037037037037	0.25	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	12	1	K562	250	1000	134	0.0895522388059701	0.00746268656716418	0.0833333333333333	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
spleen	3	0	K562	250	1000	35	0.0857142857142857	0	0	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
LCL	6	0	GM12878	250	1000	130	0.0461538461538462	0	0	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	5	1	BMMC5_B	250	1000	43	0.116279069767442	0.0232558139534884	0.2	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	12	1	BMMC5_Erythroid	250	1000	134	0.0895522388059701	0.00746268656716418	0.0833333333333333	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	3	0	PBMC5_B	250	1000	43	0.0697674418604651	0	0	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
NK	4	2	PBMC5_NK	250	1000	44	0.0909090909090909	0.0454545454545455	0.5	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	482	361	K562	0	30000	2846	0.169360505973296	0.1268446943078	0.74896265560166	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
spleen	96	80	K562	0	30000	618	0.155339805825243	0.129449838187702	0.833333333333333	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
LCL	454	379	GM12878	0	30000	2398	0.189324437030859	0.158048373644704	0.834801762114538	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
B	109	83	BMMC5_B	0	30000	498	0.218875502008032	0.166666666666667	0.761467889908257	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
T	71	58	BMMC5_T	0	30000	298	0.238255033557047	0.194630872483221	0.816901408450704	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
dendritic	12	9	BMMC5_Dendritic	0	30000	35	0.342857142857143	0.257142857142857	0.75	scE2G_ATAC	dendritic.BMMC5_Dendritic	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
blood	489	366	BMMC5_Erythroid	0	30000	2846	0.171820098383696	0.128601546029515	0.748466257668712	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
B	90	74	PBMC5_B	0	30000	498	0.180722891566265	0.14859437751004	0.822222222222222	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
dendritic	12	8	PBMC5_DC	0	30000	35	0.342857142857143	0.228571428571429	0.666666666666667	scE2G_ATAC	dendritic.PBMC5_DC	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
NK	168	139	PBMC5_NK	0	30000	699	0.240343347639485	0.198855507868383	0.827380952380952	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
T	65	54	PBMC5_T	0	30000	298	0.218120805369128	0.181208053691275	0.830769230769231	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	35-2846 variants	All variants	11-11 biosample pairs
blood	303	192	K562	0	10	999	0.303303303303303	0.192192192192192	0.633663366336634	Kendall	blood.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	74	37	K562	0	10	266	0.278195488721805	0.139097744360902	0.5	Kendall	spleen.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	265	187	GM12878	0	10	864	0.306712962962963	0.216435185185185	0.705660377358491	Kendall	LCL.GM12878	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
B	49	32	BMMC5_B	0	10	156	0.314102564102564	0.205128205128205	0.653061224489796	Kendall	B.BMMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
T	42	26	BMMC5_T	0	10	118	0.355932203389831	0.220338983050847	0.619047619047619	Kendall	T.BMMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	279	209	BMMC5_Erythroid	0	10	999	0.279279279279279	0.209209209209209	0.74910394265233	Kendall	blood.BMMC5_Erythroid	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
B	46	22	PBMC5_B	0	10	156	0.294871794871795	0.141025641025641	0.478260869565217	Kendall	B.PBMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	83	39	PBMC5_NK	0	10	226	0.367256637168142	0.172566371681416	0.469879518072289	Kendall	NK.PBMC5_NK	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
T	37	19	PBMC5_T	0	10	118	0.313559322033898	0.161016949152542	0.513513513513514	Kendall	T.PBMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	249	97	K562	10	100	1464	0.170081967213115	0.0662568306010929	0.389558232931727	Kendall	blood.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
spleen	46	19	K562	10	100	268	0.171641791044776	0.0708955223880597	0.41304347826087	Kendall	spleen.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	229	126	GM12878	10	100	1163	0.196904557179708	0.108340498710232	0.550218340611354	Kendall	LCL.GM12878	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	61	32	BMMC5_B	10	100	256	0.23828125	0.125	0.524590163934426	Kendall	B.BMMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	33	13	BMMC5_T	10	100	134	0.246268656716418	0.0970149253731343	0.393939393939394	Kendall	T.BMMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	9	3	BMMC5_Dendritic	10	100	21	0.428571428571429	0.142857142857143	0.333333333333333	Kendall	dendritic.BMMC5_Dendritic	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	274	153	BMMC5_Erythroid	10	100	1464	0.187158469945355	0.104508196721311	0.558394160583942	Kendall	blood.BMMC5_Erythroid	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	51	30	PBMC5_B	10	100	256	0.19921875	0.1171875	0.588235294117647	Kendall	B.PBMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	9	5	PBMC5_DC	10	100	21	0.428571428571429	0.238095238095238	0.555555555555556	Kendall	dendritic.PBMC5_DC	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	87	45	PBMC5_NK	10	100	370	0.235135135135135	0.121621621621622	0.517241379310345	Kendall	NK.PBMC5_NK	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	33	14	PBMC5_T	10	100	134	0.246268656716418	0.104477611940299	0.424242424242424	Kendall	T.PBMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	45	23	K562	100	250	243	0.185185185185185	0.0946502057613169	0.511111111111111	Kendall	blood.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
spleen	5	2	K562	100	250	47	0.106382978723404	0.0425531914893617	0.4	Kendall	spleen.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
LCL	39	16	GM12878	100	250	240	0.1625	0.0666666666666667	0.41025641025641	Kendall	LCL.GM12878	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
B	14	7	BMMC5_B	100	250	43	0.325581395348837	0.162790697674419	0.5	Kendall	B.BMMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
T	7	2	BMMC5_T	100	250	27	0.259259259259259	0.0740740740740741	0.285714285714286	Kendall	T.BMMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	35	21	BMMC5_Erythroid	100	250	243	0.1440329218107	0.0864197530864198	0.6	Kendall	blood.BMMC5_Erythroid	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
B	10	3	PBMC5_B	100	250	43	0.232558139534884	0.0697674418604651	0.3	Kendall	B.PBMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
NK	18	9	PBMC5_NK	100	250	59	0.305084745762712	0.152542372881356	0.5	Kendall	NK.PBMC5_NK	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
T	6	1	PBMC5_T	100	250	27	0.222222222222222	0.037037037037037	0.166666666666667	Kendall	T.PBMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	16	5	K562	250	1000	134	0.119402985074627	0.0373134328358209	0.3125	Kendall	blood.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
spleen	7	3	K562	250	1000	35	0.2	0.0857142857142857	0.428571428571429	Kendall	spleen.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
LCL	13	4	GM12878	250	1000	130	0.1	0.0307692307692308	0.307692307692308	Kendall	LCL.GM12878	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	8	3	BMMC5_B	250	1000	43	0.186046511627907	0.0697674418604651	0.375	Kendall	B.BMMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	14	8	BMMC5_Erythroid	250	1000	134	0.104477611940299	0.0597014925373134	0.571428571428571	Kendall	blood.BMMC5_Erythroid	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	4	3	PBMC5_B	250	1000	43	0.0930232558139535	0.0697674418604651	0.75	Kendall	B.PBMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
