Biosample	GTExTissue	nVariantsOverlappingEnhancers	nVariantsGTExTissue	nCommonVariantsOverlappingEnhancers	nCommonVariants	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	method	distance_min	distance_max	tissue.biosample	pred_name_long	hex	count	cat	pairs
K562	spleen	0	46	264810	9746610	0	0	NA	Inf	1	Cicero	100	250	spleen.K562	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_B	B	0	43	17827	9746610	0	0	NA	Inf	1	Cicero	100	250	B.BMMC5_B	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_T	T	0	27	22873	9746610	0	0	NA	Inf	1	Cicero	100	250	T.BMMC5_T	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
PBMC5_B	B	0	43	12470	9746610	0	0	NA	Inf	1	Cicero	100	250	B.PBMC5_B	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
PBMC5_B	B	0	42	86127	9746610	0	0	NA	Inf	1	SCENT	250	1000	B.PBMC5_B	SCENT (FDR)	#a5a083	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_NK	NK	0	41	63638	9746610	0	0	NA	Inf	1	SCENT	250	1000	NK.PBMC5_NK	SCENT (FDR)	#a5a083	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	0	33	428589	9746610	0	0	NA	Inf	1	SnapATAC	250	1000	spleen.K562	SnapATAC (p-value)	#5e5948	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	0	133	264810	9746610	0	0	NA	Inf	1	Cicero	250	1000	blood.K562	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	0	33	264810	9746610	0	0	NA	Inf	1	Cicero	250	1000	spleen.K562	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_B	B	0	42	17827	9746610	0	0	NA	Inf	1	Cicero	250	1000	B.BMMC5_B	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_B	B	0	42	12470	9746610	0	0	NA	Inf	1	Cicero	250	1000	B.PBMC5_B	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_NK	NK	0	41	16208	9746610	0	0	NA	Inf	1	Cicero	250	1000	NK.PBMC5_NK	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_B	B	0	42	40050	9746610	0	0	NA	Inf	1	FigR	250	1000	B.PBMC5_B	FigR (p-value)	#bc9678	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	0	33	428647	9746610	0	0	NA	Inf	1	ArchR	250	1000	spleen.K562	ArchR (high-confidence)	#dcbca1	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	1	133	428589	9746610	0.170986147462691	0.0242640632191166	1.20492031199041	0.996235738911692	1	SnapATAC	250	1000	blood.K562	SnapATAC (p-value)	#5e5948	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	2	262	428589	9746610	0.173596622996472	0.0436466265737457	0.690449408841751	0.704404960691428	1	SnapATAC	10	100	spleen.K562	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	11	1420	428589	9746610	0.176163896998533	0.097783161804841	0.317372828132188	0.300343479148615	1	SnapATAC	10	100	blood.K562	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	1	1420	35005	9746610	0.196080841569917	0.027638162210356	1.39110900855631	0.999676290058184	1	Cicero	10	100	blood.BMMC5_Erythroid	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	8	1420	264810	9746610	0.207358026030888	0.103901414842861	0.413828348963824	0.352559732565412	1	Cicero	10	100	blood.K562	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	spleen	2	262	264810	9746610	0.280962210843379	0.0706408788510103	1.1174799238907	0.704406403746193	1	Cicero	10	100	spleen.K562	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
GM12878	LCL	1	128	252448	9746610	0.30162802091916	0.0428152399773602	2.12493175448081	0.996089949268865	1	SnapATAC	250	1000	LCL.GM12878	SnapATAC (p-value)	#5e5948	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	7	853	252448	9746610	0.31683318492798	0.151504747463985	0.662575059540428	0.376414286090591	1	SnapATAC	0	10	LCL.GM12878	SnapATAC (p-value)	#5e5948	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	4	266	428589	9746610	0.341972294925382	0.129300552241852	0.904443550076959	0.496228591791511	1	SnapATAC	0	10	spleen.K562	SnapATAC (p-value)	#5e5948	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	blood	4	241	428647	9746610	0.377395527277487	0.14280414510245	0.997361693576	0.495835491012349	1	ArchR	100	250	blood.K562	ArchR (high-confidence)	#dcbca1	27-243 variants	100-250 Kb	9-9 biosample pairs
GM12878	LCL	12	1131	252448	9746610	0.409638054935304	0.233336847052695	0.719146325026344	0.287143476281504	1	SnapATAC	10	100	LCL.GM12878	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_B	B	1	251	86127	9746610	0.450858796171335	0.0637568014064847	3.18826618652157	0.998017488230826	1	SCENT	10	100	B.PBMC5_B	SCENT (FDR)	#a5a083	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	20	992	428589	9746610	0.458491080897941	0.297113924101463	0.707520093171989	0.221343450214979	1	SnapATAC	0	10	blood.K562	SnapATAC (p-value)	#5e5948	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	1	46	428647	9746610	0.494306098227578	0.071137001477788	3.43475988120281	0.989072940415866	1	ArchR	100	250	spleen.K562	ArchR (high-confidence)	#dcbca1	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	3	133	428647	9746610	0.512889034251171	0.167553791803121	1.56997438628064	0.570803891445252	1	ArchR	250	1000	blood.K562	ArchR (high-confidence)	#dcbca1	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	2	992	35005	9746610	0.561360473849358	0.140583472991371	2.24155496300564	0.706422077037573	1	Cicero	0	10	blood.BMMC5_Erythroid	Cicero (co-accessibility)	#888364	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	1	33	496367	9746610	0.595027103296186	0.086363410433279	4.09962103025773	0.984733839873248	1	scE2G_multiome	250	1000	spleen.K562	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	1	33	496367	9746610	0.595027103296186	0.086363410433279	4.09962103025773	0.984733839873248	1	scABC	250	1000	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	7	266	428647	9746610	0.598370539959699	0.288075148672655	1.24289549008796	0.372960330329281	1	ArchR	0	10	spleen.K562	ArchR (high-confidence)	#dcbca1	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	blood	38	1420	428647	9746610	0.608483844860427	0.444655992715474	0.83267198805762	0.160038364121936	1	ArchR	10	100	blood.K562	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	1	133	113927	9746610	0.643243322082449	0.0912793213381855	4.53292120644388	0.996242183224559	1	ScenicPlus	250	1000	blood.BMMC5_Erythroid	SCENIC+ (importance)	#c5c1a5	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	1	133	113862	9746610	0.643610528138336	0.0913314287467729	4.53550894379438	0.996242188235368	1	SnapATAC	250	1000	blood.BMMC5_Erythroid	SnapATAC (p-value)	#5e5948	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	1	133	113839	9746610	0.643740563031011	0.0913498810056191	4.53642531254082	0.996242190009794	1	ArchR	250	1000	blood.BMMC5_Erythroid	ArchR (high-confidence)	#dcbca1	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_NK	NK	1	224	63638	9746610	0.683736946254035	0.0967333760450264	4.83283258360783	0.99778097161751	1	SCENT	0	10	NK.PBMC5_NK	SCENT (FDR)	#a5a083	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	8	262	428647	9746610	0.694292534915071	0.350934130214449	1.37359715837336	0.348116013598387	1	ArchR	10	100	spleen.K562	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	5	133	496367	9746610	0.738191519126848	0.312408251822747	1.74427761024693	0.438728709724252	1	scE2G_multiome	250	1000	blood.K562	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	2	133	196878	9746610	0.744448663181129	0.18814070571104	2.94568796272805	0.701775026638399	1	SCENT	250	1000	blood.K562	SCENT (FDR)	#a5a083	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	5	234	252448	9746610	0.824965527300266	0.346619147706605	1.96344641009235	0.442413731610478	1	SnapATAC	100	250	LCL.GM12878	SnapATAC (p-value)	#5e5948	27-243 variants	100-250 Kb	9-9 biosample pairs
PBMC5_B	B	1	42	278930	9746610	0.831972691561119	0.119977266237443	5.76924763507766	0.988027002588463	1	scE2G_multiome	250	1000	B.PBMC5_B	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
PBMC5_B	B	1	42	278930	9746610	0.831972691561119	0.119977266237443	5.76924763507766	0.988027002588463	1	scABC	250	1000	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	14	1420	113839	9746610	0.84411614673503	0.501217076959041	1.42160373605351	0.265949175223654	1	ArchR	10	100	blood.BMMC5_Erythroid	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_NK	NK	2	362	63638	9746610	0.846171690391734	0.212431934121122	3.37052210432806	0.70516635336527	1	SCENT	10	100	NK.PBMC5_NK	SCENT (FDR)	#a5a083	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	spleen	2	46	496367	9746610	0.85373453951192	0.220120665304855	3.31119598855561	0.691565986846711	1	scE2G_multiome	100	250	spleen.K562	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	spleen	2	46	496367	9746610	0.85373453951192	0.220120665304855	3.31119598855561	0.691565986846711	1	scE2G_ATAC	100	250	spleen.K562	scE2G (scATAC)	#006479	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	spleen	2	46	496367	9746610	0.85373453951192	0.220120665304855	3.31119598855561	0.691565986846711	1	scABC	100	250	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	6	133	496367	9746610	0.885829822952217	0.405299372504963	1.93608608466807	0.398935327127102	1	scABC	250	1000	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	11	241	496367	9746610	0.896244143139069	0.503156714835063	1.59642819111416	0.294551930398338	1	scABC	100	250	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	15	1420	113862	9746610	0.904227467349282	0.546581466346186	1.49589285962184	0.256840222639946	1	FigR	10	100	blood.BMMC5_Erythroid	FigR (p-value)	#bc9678	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_NK	NK	1	41	260393	9746610	0.912936196909868	0.131728664298465	6.32703978338272	0.987733334398825	1	ABC_distanceToTSS	250	1000	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	5	262	196878	9746610	0.944767864533304	0.396553518843782	2.25085965812964	0.442930710989797	1	SCENT	10	100	spleen.K562	SCENT (FDR)	#a5a083	21-1464 variants	10-100 Kb	11-11 biosample pairs
GM12878	LCL	4	128	308166	9746610	0.988368484842585	0.376719616953901	2.5931016540335	0.492128634530278	1	scE2G_multiome	250	1000	LCL.GM12878	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	4	128	308166	9746610	0.988368484842585	0.376719616953901	2.5931016540335	0.492128634530278	1	scABC	250	1000	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	5	234	205994	9746610	1.01100467700951	0.424784981099912	2.4062302162578	0.44241462490899	1	Cicero	100	250	LCL.GM12878	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_T	T	1	133	72093	9746610	1.01650343243987	0.144245286344132	7.16334831002307	0.996247276646238	1	ArchR	10	100	T.BMMC5_T	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	5	241	196878	9746610	1.02709203530177	0.431425456210538	2.44519194172334	0.442555112160304	1	SCENT	100	250	blood.K562	SCENT (FDR)	#a5a083	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	spleen	1	46	196878	9746610	1.07621382829446	0.154880170144265	7.47827306189915	0.989075686781586	1	SCENT	100	250	spleen.K562	SCENT (FDR)	#a5a083	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	48	992	428647	9746610	1.10022970250654	0.834892171410771	1.4498942974063	0.140804463320119	1	ArchR	0	10	blood.K562	ArchR (high-confidence)	#dcbca1	118-999 variants	0-10 Kb	9-9 biosample pairs
GM12878	LCL	3	128	205994	9746610	1.10894575509481	0.362458295002525	3.39283361616604	0.570549082645098	1	Cicero	250	1000	LCL.GM12878	Cicero (co-accessibility)	#888364	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	14	241	496367	9746610	1.14067436399518	0.686077872871241	1.89648734659017	0.259384243424536	1	scE2G_multiome	100	250	blood.K562	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	6	133	383786	9746610	1.14568194704685	0.524190566119291	2.50402660526012	0.398935918107496	1	scE2G_multiome	250	1000	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	6	133	383786	9746610	1.14568194704685	0.524190566119291	2.50402660526012	0.398935918107496	1	scABC	250	1000	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	33	1420	196878	9746610	1.15048774038802	0.821172627573403	1.6118681947479	0.172048008952852	1	SCENT	10	100	blood.K562	SCENT (FDR)	#a5a083	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	1	241	35005	9746610	1.15533109970656	0.163398665632905	8.16891585239715	0.997951619307574	1	Cicero	100	250	blood.BMMC5_Erythroid	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	11	241	383786	9746610	1.15915123688074	0.650753544388684	2.06473188129055	0.294552521378732	1	scE2G_multiome	100	250	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	27-243 variants	100-250 Kb	9-9 biosample pairs
PBMC5_T	T	1	118	70274	9746610	1.17537623915685	0.166946684572096	8.27515267593048	0.995767823731092	1	SnapATAC	0	10	T.PBMC5_T	SnapATAC (p-value)	#5e5948	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	blood	8	133	496367	9746610	1.18110643060296	0.603300322012393	2.31230176665313	0.342757222730513	1	ABC_distanceToTSS	250	1000	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	29	1131	205994	9746610	1.21320561241141	0.847043726862136	1.73765274602655	0.183303920819531	1	Cicero	10	100	LCL.GM12878	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	21	1420	113862	9746610	1.26591845428899	0.827998476886369	1.93544985606219	0.216606976969961	1	SnapATAC	10	100	blood.BMMC5_Erythroid	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	spleen	3	46	496367	9746610	1.28060180926788	0.428811548762722	3.824386256928	0.558208148924696	1	ABC_distanceToTSS	100	250	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	2	133	113862	9746610	1.28722105627667	0.325310437262584	5.09340573780787	0.701778729912064	1	FigR	250	1000	blood.BMMC5_Erythroid	FigR (p-value)	#bc9678	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	22	1420	113927	9746610	1.32544363409384	0.875565003412154	2.00647675536764	0.211551389555714	1	ScenicPlus	10	100	blood.BMMC5_Erythroid	SCENIC+ (importance)	#c5c1a5	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	7	133	383786	9746610	1.33662893822133	0.649928583880525	2.74888189687484	0.36788610670996	1	ABC_distanceToTSS	250	1000	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	13	241	383786	9746610	1.36990600722269	0.807352876253107	2.32443894587238	0.269768511496172	1	scABC	100	250	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	16	992	113839	9746610	1.38092733682459	0.849348960664985	2.24520238194725	0.247984356921832	1	ArchR	0	10	blood.BMMC5_Erythroid	ArchR (high-confidence)	#dcbca1	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	blood	101	1420	496367	9746610	1.3966375600607	1.15731628091053	1.68544805456089	0.095901676099283	0.328993337034845	scE2G_multiome	10	100	blood.K562	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	4	241	113839	9746610	1.42103725947094	0.537704955120233	3.75549243795449	0.49584194242616	1	ArchR	100	250	blood.BMMC5_Erythroid	ArchR (high-confidence)	#dcbca1	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	spleen	19	262	496367	9746610	1.42397707544545	0.92349876816834	2.19568317932457	0.220942594245913	1	scE2G_multiome	10	100	spleen.K562	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_B	B	2	251	54434	9746610	1.42672284005763	0.358786791236317	5.67339186408733	0.704302256627616	1	SnapATAC	10	100	B.BMMC5_B	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_B	B	2	251	54427	9746610	1.42690633464452	0.358832934089994	5.67412156025238	0.704302258990343	1	ArchR	10	100	B.BMMC5_B	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	18	241	496367	9746610	1.46658132513666	0.94039906427482	2.28717877861588	0.226731217515833	1	ABC_distanceToTSS	100	250	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
GM12878	LCL	6	128	308166	9746610	1.48255272726388	0.678809974806908	3.23796448298036	0.398568277190144	1	scE2G_ATAC	250	1000	LCL.GM12878	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
GM12878	LCL	6	128	308166	9746610	1.48255272726388	0.678809974806908	3.23796448298036	0.398568277190144	1	ABC_distanceToTSS	250	1000	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	1	33	196878	9746610	1.50017685156197	0.217737326956798	10.3359888606005	0.984736904522567	1	SCENT	250	1000	spleen.K562	SCENT (FDR)	#a5a083	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	18	992	113862	9746610	1.55322943988223	0.982712914095451	2.45496081135508	0.233562723042453	1	SnapATAC	0	10	blood.BMMC5_Erythroid	SnapATAC (p-value)	#5e5948	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	21	262	496367	9746610	1.57386939917655	1.04428537387775	2.37201913157729	0.20929179169338	1	scABC	10	100	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	26	1420	113132	9746610	1.57744100995322	1.07782106319414	2.30865792556333	0.194321147737239	1	DIRECTNET	10	100	blood.BMMC5_Erythroid	DIRECTNET (high-confidence)	#e0dcca	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_Erythroid	blood	19	992	113862	9746610	1.63951996432014	1.05029052456671	2.55931635155256	0.227216766154028	1	FigR	0	10	blood.BMMC5_Erythroid	FigR (p-value)	#bc9678	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	spleen	12	266	264810	9746610	1.66042329114959	0.955215813407395	2.88626451435869	0.282092196743657	1	Cicero	0	10	spleen.K562	Cicero (co-accessibility)	#888364	118-999 variants	0-10 Kb	9-9 biosample pairs
PBMC5_NK	NK	1	362	16208	9746610	1.6611757784165	0.234605463949643	11.7623218161277	0.998679424659684	1	Cicero	10	100	NK.PBMC5_NK	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_B	B	2	42	278930	9746610	1.66394538312224	0.430280073027841	6.43467920447867	0.690069041871464	1	ABC_distanceToTSS	250	1000	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	spleen	4	46	496427	9746610	1.70726270800707	0.669303518522753	4.35489411528105	0.477768454748045	1	STARE	100	250	spleen.K562	STARE (gABC, power law)	#96ced3	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	10	133	428589	9746610	1.70986147462691	0.942111903431631	3.10326857325975	0.304109453517456	1	FigR	250	1000	blood.K562	FigR (p-value)	#bc9678	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	17	2741	35005	9746610	1.72688490167741	1.07506237777125	2.77391482141136	0.241810802932071	1	Cicero	0	30000	blood.BMMC5_Erythroid	Cicero (co-accessibility)	#888364	35-2846 variants	All variants	11-11 biosample pairs
K562	blood	47	992	264810	9746610	1.74383501226077	1.3192246331984	2.30511201311778	0.142371265610736	0.102323299708499	Cicero	0	10	blood.K562	Cicero (co-accessibility)	#888364	118-999 variants	0-10 Kb	9-9 biosample pairs
K562	blood	127	1420	496367	9746610	1.75616802106642	1.48761063422835	2.07320789946904	0.084676526864512	5.49938893843349e-07	scABC	10	100	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
K562	blood	12	133	496427	9746610	1.77144551657877	1.03264868776671	3.0388061839245	0.275346307672057	1	STARE	250	1000	blood.K562	STARE (gABC, power law)	#96ced3	35-134 variants	250-1000 Kb	7-7 biosample pairs
K562	blood	12	133	496367	9746610	1.77165964590443	1.0327735120935	3.03917351110576	0.275346307915554	1	scE2G_ATAC	250	1000	blood.K562	scE2G (scATAC)	#006479	35-134 variants	250-1000 Kb	7-7 biosample pairs
BMMC5_Erythroid	blood	5	241	113927	9746610	1.77492451943912	0.745543771879117	4.22558294835706	0.44255881042316	1	ScenicPlus	100	250	blood.BMMC5_Erythroid	SCENIC+ (importance)	#c5c1a5	27-243 variants	100-250 Kb	9-9 biosample pairs
BMMC5_Erythroid	blood	5	241	113862	9746610	1.77593776436512	0.745969370507279	4.22799523357561	0.44255881543397	1	SnapATAC	100	250	blood.BMMC5_Erythroid	SnapATAC (p-value)	#5e5948	27-243 variants	100-250 Kb	9-9 biosample pairs
