method	metric	min_max	value
SnapATAC	recall_overlap	min	0.000911161731207289
SnapATAC	recall_overlap	max	0.138297872340426
SnapATAC	precision_linking_intersectPoPS	min	0
SnapATAC	precision_linking_intersectPoPS	max	1
SnapATAC	precision_linking	min	0
SnapATAC	precision_linking	max	1
SnapATAC	recall_linking_intersectPoPS	min	0
SnapATAC	recall_linking_intersectPoPS	max	0.222222222222222
SnapATAC	recall_linking	min	0
SnapATAC	recall_linking	max	0.235294117647059
Signac	enrichment_overlap	min	1.55489786408676
Signac	enrichment_overlap	max	19.4791171192057
Signac	recall_overlap	min	0.000455580865603645
Signac	recall_overlap	max	0.348837209302326
Signac	precision_linking_intersectPoPS	min	0
Signac	precision_linking_intersectPoPS	max	1
Signac	precision_linking	min	0
Signac	precision_linking	max	1
Signac	recall_linking_intersectPoPS	min	0
Signac	recall_linking_intersectPoPS	max	0.111111111111111
Signac	recall_linking	min	0
Signac	recall_linking	max	0.111111111111111
Cicero	enrichment_overlap	min	3.33816765382361
Cicero	enrichment_overlap	max	37.7966762257654
Cicero	recall_overlap	min	0.00159489633173844
Cicero	recall_overlap	max	0.0952380952380952
Cicero	precision_linking_intersectPoPS	min	0
Cicero	precision_linking_intersectPoPS	max	1
Cicero	precision_linking	min	0
Cicero	precision_linking	max	1
Cicero	recall_linking_intersectPoPS	min	0
Cicero	recall_linking_intersectPoPS	max	0.222222222222222
Cicero	recall_linking	min	0
Cicero	recall_linking	max	0.222222222222222
FigR	enrichment_overlap	min	1.64621456213445
FigR	enrichment_overlap	max	24.1470285108365
FigR	recall_overlap	min	0.000455580865603645
FigR	recall_overlap	max	0.325581395348837
FigR	precision_linking_intersectPoPS	min	0
FigR	precision_linking_intersectPoPS	max	1
FigR	precision_linking	min	0
FigR	precision_linking	max	1
FigR	recall_linking_intersectPoPS	min	0
FigR	recall_linking_intersectPoPS	max	0.222222222222222
FigR	recall_linking	min	0
FigR	recall_linking	max	0.222222222222222
ScenicPlus	enrichment_overlap	min	1.55545627595765
ScenicPlus	enrichment_overlap	max	45.1210010624484
ScenicPlus	recall_overlap	min	0.000709219858156028
ScenicPlus	recall_overlap	max	0.316455696202532
ScenicPlus	precision_linking_intersectPoPS	min	0
ScenicPlus	precision_linking_intersectPoPS	max	1
ScenicPlus	precision_linking	min	0
ScenicPlus	precision_linking	max	1
ScenicPlus	recall_linking_intersectPoPS	min	0
ScenicPlus	recall_linking_intersectPoPS	max	0.147058823529412
ScenicPlus	recall_linking	min	0
ScenicPlus	recall_linking	max	0.147058823529412
DIRECTNET	enrichment_overlap	min	1.50819710974865
DIRECTNET	enrichment_overlap	max	20.2573684527756
DIRECTNET	recall_overlap	min	0.000455580865603645
DIRECTNET	recall_overlap	max	0.325581395348837
DIRECTNET	precision_linking_intersectPoPS	min	0
DIRECTNET	precision_linking_intersectPoPS	max	1
DIRECTNET	precision_linking	min	0
DIRECTNET	precision_linking	max	1
DIRECTNET	recall_linking_intersectPoPS	min	0
DIRECTNET	recall_linking_intersectPoPS	max	0.235294117647059
DIRECTNET	recall_linking	min	0
DIRECTNET	recall_linking	max	0.323529411764706
ArchR	enrichment_overlap	min	1.89030381354459
ArchR	enrichment_overlap	max	20.3548970728179
ArchR	recall_overlap	min	0.00114678899082569
ArchR	recall_overlap	max	0.20253164556962
ArchR	precision_linking_intersectPoPS	min	0
ArchR	precision_linking_intersectPoPS	max	1
ArchR	precision_linking	min	0
ArchR	precision_linking	max	1
ArchR	recall_linking_intersectPoPS	min	0
ArchR	recall_linking_intersectPoPS	max	0.235294117647059
ArchR	recall_linking	min	0
ArchR	recall_linking	max	0.444444444444444
