trait	nVariantsOverlappingEnhancers	biosample	nVariantsTotal	bpEnhancers	nCommonVariantsOverlappingEnhancers	nCommonVariantsTotal	recall	enrichment	method	biosampleGroup	traitGroup	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	significant_enr	n_cells	unique_fragments	dataset	biosample_name	ext_biosample_name	pred_file	ATAC_bw
CAD	3	K562_Xu	40	55830529	156169	9746610	0.075	4.68079932637079	scE2G_multiome	FALSE	FALSE	0.555284009018294	1.5763818184953	13.8988423215049	0.00380323649899282	1	0.113636363636364	0.0478451908136753	-0.0187748508282501	0.16877485082825	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
CRP	32	K562_Xu	440	55830529	156169	9746610	0.0727272727272727	4.53895692254137	scE2G_multiome	FALSE	FALSE	0.170233421729469	3.25127054658756	6.33663967654419	5.70751326987159e-13	2.04386050194102e-09	0.0765765765765766	0.0126199295853667	0.0479926652525225	0.0974618802020229	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Ca	32	K562_Xu	516	55830529	156169	9746610	0.062015503875969	3.87042838356241	scE2G_multiome	FALSE	FALSE	0.171213822469995	2.76707904834569	5.41372892156497	4.04460095662098e-11	1.44837160256597e-07	0.0653846153846154	0.0108405814717397	0.040768354619887	0.083262653132051	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Cholelithiasis	1	K562_Xu	25	55830529	156169	9746610	0.04	2.49642630739776	scE2G_multiome	FALSE	FALSE	0.979802197832976	0.365855516358076	17.0344412742651	0.0603887595637601	1	0.103448275862069	0.056552304164538	-0.070840479405249	0.150840479405249	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
DBP	19	K562_Xu	352	55830529	156169	9746610	0.0539772727272727	3.36875709094868	scE2G_multiome	FALSE	FALSE	0.223144531098229	2.17534792288645	5.21687782373623	1.58084808744562e-06	0.00566101700114277	0.0589887640449438	0.0124869695860172	0.0295032620626321	0.0784512833919134	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
DVT	7	K562_Xu	247	55830529	156169	9746610	0.0283400809716599	1.76872309228586	scE2G_multiome	FALSE	FALSE	0.372576508682166	0.852161966195831	3.67111124561306	0.0472420238584426	1	0.0358565737051793	0.0117359528353434	0.00533803609012622	0.0513421258531936	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Eosino	68	K562_Xu	1104	55830529	156169	9746610	0.0615942028985507	3.84413471247843	scE2G_multiome	FALSE	FALSE	0.117480064818298	3.05351027729571	4.83947010021821	6.00124374444628e-21	2.14904538488621e-17	0.0631768953068592	0.00730866500266362	0.0472694827182617	0.0759189230788398	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
FEV1FVC	26	K562_Xu	821	55830529	156169	9746610	0.0316686967113276	1.97646418977898	scE2G_multiome	FALSE	FALSE	0.192992081711334	1.3539848104363	2.8851215045905	0.000478795782442292	1	0.0339393939393939	0.00630416038467148	0.0193127694046074	0.0440246240180479	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Fibroblastic_Disorders	1	K562_Xu	54	55830529	156169	9746610	0.0185185185185185	1.15575292009155	scE2G_multiome	FALSE	FALSE	0.990703772948983	0.16579690494299	8.05663297972578	0.214417999215032	1	0.0517241379310345	0.0290803736061726	-0.038477966406549	0.0755150034435861	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
GGT	38	K562_Xu	745	55830529	156169	9746610	0.051006711409396	3.18336240540653	scE2G_multiome	FALSE	FALSE	0.158036385179879	2.33542146829196	4.33917232574176	2.77748364385e-10	9.94616892862685e-07	0.0534045393858478	0.00821543164830684	0.034904761261264	0.0671086615575279	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Glaucoma_Combined	1	K562_Xu	35	55830529	156169	9746610	0.0285714285714286	1.78316164814125	scE2G_multiome	FALSE	FALSE	0.985617061328867	0.258363971178763	12.3069228611671	0.108018586102938	1	0.0769230769230769	0.0426692458634792	-0.0550587565684753	0.112201613711332	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Glucose	10	K562_Xu	210	55830529	156169	9746610	0.0476190476190476	2.97193608023542	scE2G_multiome	FALSE	FALSE	0.308613000643889	1.62310868677211	5.44165904414582	0.000654942667627766	1	0.0560747663551402	0.0157269913428452	0.0167947110018978	0.0784433842361974	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
HDLC	37	K562_Xu	692	55830529	156169	9746610	0.0534682080924856	3.33698603228746	scE2G_multiome	FALSE	FALSE	0.159949854268527	2.43896083270244	4.565664044446	1.22017296169671e-10	4.36943937583592e-07	0.0560344827586207	0.00871768412617954	0.0363818611765771	0.070554555008394	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Hb	53	K562_Xu	693	55830529	156169	9746610	0.0764790764790765	4.77310946219629	scE2G_multiome	FALSE	FALSE	0.132009797208626	3.68497419628326	6.18255996502952	6.05469419219349e-21	2.16818599022449e-17	0.078909612625538	0.0102117386570572	0.0564644364917089	0.096493716466444	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
HbA1c	72	K562_Xu	873	55830529	156169	9746610	0.0824742268041237	5.14727073690259	scE2G_multiome	FALSE	FALSE	0.112893029419803	4.12555414288179	6.42202116888637	1.32236646395312e-29	4.73539430741612e-26	0.0843785632839225	0.00938586368461186	0.0640782720184821	0.100870181589765	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Height	117	K562_Xu	2195	55830529	156169	9746610	0.0533029612756264	3.32667286976694	scE2G_multiome	FALSE	FALSE	0.0899586641205903	2.7889269734841	3.96810403702257	9.36035342320932e-29	3.35194256085126e-25	0.0541155070486585	0.0048246665618634	0.0438467885769595	0.0627591339742934	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Ht	45	K562_Xu	682	55830529	156169	9746610	0.0659824046920821	4.11800527246697	scE2G_multiome	FALSE	FALSE	0.144075542969389	3.1049139873905	5.46165449121441	1.01125116593014e-15	3.62129042519583e-12	0.0685131195335277	0.00964524324108809	0.0470780753174211	0.0848867340667431	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Hypothyroidism	2	K562_Xu	56	55830529	156169	9746610	0.0357142857142857	2.22895206017657	scE2G_multiome	FALSE	FALSE	0.694371375549119	0.571545410122014	8.69262039127344	0.0609409288625381	1	0.0666666666666667	0.0322030594359765	-0.027402550972231	0.0988311224008025	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
IBD	1	K562_Xu	5	55830529	156169	9746610	0.2	12.4821315369888	scE2G_multiome	FALSE	FALSE	0.894433491719621	2.16244756958958	72.0496579421164	0.0024860609435132	1	0.333333333333333	0.157134840263677	-0.107978627633262	0.507978627633262	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
IGF1	58	K562_Xu	1041	55830529	156169	9746610	0.0557156580211335	3.47725086044836	scE2G_multiome	FALSE	FALSE	0.127602399864142	2.70782543665767	4.46530761651069	3.06986256485936e-16	1.09931778447614e-12	0.0574162679425837	0.00719646644539146	0.0416108429722153	0.0698204730700518	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Insomnia	3	K562_Xu	29	55830529	156169	9746610	0.103448275862069	6.45627493292523	scE2G_multiome	FALSE	FALSE	0.546678574310239	2.21130358464645	18.850186966157	0.00113637518177119	1	0.151515151515152	0.0624155940053863	-0.0188840404621623	0.2257805921863	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
LDLC	41	K562_Xu	592	55830529	156169	9746610	0.0692567567567568	4.32235973831537	scE2G_multiome	FALSE	FALSE	0.150674992601097	3.21711157302435	5.80731916917832	3.06158973405499e-15	1.09635528376509e-11	0.0721476510067114	0.0105980851332439	0.0484848915905094	0.0900286219230042	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
LOY	20	K562_Xu	206	55830529	156169	9746610	0.0970873786407767	6.05928715387805	scE2G_multiome	FALSE	FALSE	0.212481313528179	3.99537099559232	9.18937461718958	3.0926180332123e-11	1.10746651769332e-07	0.104761904761905	0.021133008267655	0.0556674435511858	0.138507313730368	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
