GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
blood	127	83	BMMC5_Erythroid	10	100	1474	0.0861601085481683	0.0563093622795115	0.653543307086614	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
B	33	25	PBMC5_B	10	100	276	0.119565217391304	0.0905797101449275	0.757575757575758	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
dendritic	8	6	PBMC5_DC	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_multiome	dendritic.PBMC5_DC	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
myeloid	414	277	PBMC5_Mono	10	100	2223	0.186234817813765	0.124606387764283	0.669082125603865	scE2G_multiome	myeloid.PBMC5_Mono	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
NK	63	53	PBMC5_NK	10	100	372	0.169354838709677	0.14247311827957	0.841269841269841	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
T	304	212	PBMC5_T	10	100	2634	0.115413819286257	0.0804859529233106	0.697368421052632	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	21-2634 variants	10-100 Kb	3-13 biosample pairs
blood	13	4	K562	100	250	243	0.0534979423868313	0.0164609053497942	0.307692307692308	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
spleen	2	1	K562	100	250	47	0.0425531914893617	0.0212765957446809	0.5	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
LCL	18	14	GM12878	100	250	240	0.075	0.0583333333333333	0.777777777777778	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
B	9	4	BMMC5_B	100	250	52	0.173076923076923	0.0769230769230769	0.444444444444444	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
T	74	41	BMMC5_T	100	250	650	0.113846153846154	0.0630769230769231	0.554054054054054	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
myeloid	65	34	BMMC5_Myeloid	100	250	426	0.152582159624413	0.07981220657277	0.523076923076923	scE2G_multiome	myeloid.BMMC5_Myeloid	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
blood	11	4	BMMC5_Erythroid	100	250	243	0.0452674897119342	0.0164609053497942	0.363636363636364	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
B	4	2	PBMC5_B	100	250	52	0.0769230769230769	0.0384615384615385	0.5	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
myeloid	66	33	PBMC5_Mono	100	250	426	0.154929577464789	0.0774647887323944	0.5	scE2G_multiome	myeloid.PBMC5_Mono	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
NK	11	8	PBMC5_NK	100	250	59	0.186440677966102	0.135593220338983	0.727272727272727	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
T	60	33	PBMC5_T	100	250	650	0.0923076923076923	0.0507692307692308	0.55	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	47-650 variants	100-250 Kb	3-11 biosample pairs
blood	5	0	K562	250	1000	137	0.0364963503649635	0	0	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
spleen	1	0	K562	250	1000	35	0.0285714285714286	0	0	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
LCL	4	0	GM12878	250	1000	132	0.0303030303030303	0	0	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
B	5	1	BMMC5_B	250	1000	50	0.1	0.02	0.2	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
T	28	4	BMMC5_T	250	1000	496	0.0564516129032258	0.00806451612903226	0.142857142857143	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
myeloid	11	5	BMMC5_Myeloid	250	1000	251	0.0438247011952191	0.0199203187250996	0.454545454545455	scE2G_multiome	myeloid.BMMC5_Myeloid	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
blood	6	1	BMMC5_Erythroid	250	1000	137	0.0437956204379562	0.0072992700729927	0.166666666666667	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
B	2	0	PBMC5_B	250	1000	50	0.04	0	0	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
myeloid	13	5	PBMC5_Mono	250	1000	251	0.051792828685259	0.0199203187250996	0.384615384615385	scE2G_multiome	myeloid.PBMC5_Mono	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
NK	3	1	PBMC5_NK	250	1000	44	0.0681818181818182	0.0227272727272727	0.333333333333333	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
T	21	2	PBMC5_T	250	1000	496	0.0423387096774194	0.00403225806451613	0.0952380952380952	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	35-496 variants	250-1000 Kb	3-11 biosample pairs
blood	353	269	K562	0	30000	2861	0.123383432366306	0.094023068857043	0.762039660056657	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
spleen	71	51	K562	0	30000	621	0.114331723027375	0.0821256038647343	0.71830985915493	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
LCL	386	312	GM12878	0	30000	2404	0.160565723793677	0.129783693843594	0.808290155440415	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
B	98	79	BMMC5_B	0	30000	540	0.181481481481482	0.146296296296296	0.806122448979592	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
T	760	587	BMMC5_T	0	30000	5192	0.146379044684129	0.113058551617874	0.772368421052632	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
myeloid	1026	807	BMMC5_Myeloid	0	30000	4346	0.236079153244363	0.185687988955361	0.786549707602339	scE2G_multiome	myeloid.BMMC5_Myeloid	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
dendritic	13	9	BMMC5_Dendritic	0	30000	35	0.371428571428571	0.257142857142857	0.692307692307692	scE2G_multiome	dendritic.BMMC5_Dendritic	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
blood	368	292	BMMC5_Erythroid	0	30000	2861	0.128626354421531	0.102062216008389	0.793478260869565	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
B	83	69	PBMC5_B	0	30000	540	0.153703703703704	0.127777777777778	0.831325301204819	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
dendritic	10	8	PBMC5_DC	0	30000	35	0.285714285714286	0.228571428571429	0.8	scE2G_multiome	dendritic.PBMC5_DC	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
myeloid	953	741	PBMC5_Mono	0	30000	4346	0.219282098481362	0.170501610676484	0.777544596012592	scE2G_multiome	myeloid.PBMC5_Mono	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
NK	149	128	PBMC5_NK	0	30000	701	0.212553495007133	0.182596291012839	0.859060402684564	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
T	684	534	PBMC5_T	0	30000	5192	0.131741140215716	0.102850539291217	0.780701754385965	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	35-5192 variants	All variants	3-13 biosample pairs
blood	273	256	K562	0	10	1001	0.272727272727273	0.255744255744256	0.937728937728938	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
spleen	60	58	K562	0	10	268	0.223880597014925	0.216417910447761	0.966666666666667	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
LCL	259	252	GM12878	0	10	866	0.299076212471132	0.290993071593534	0.972972972972973	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	49	48	BMMC5_B	0	10	162	0.302469135802469	0.296296296296296	0.979591836734694	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
T	345	334	BMMC5_T	0	10	1410	0.24468085106383	0.236879432624114	0.968115942028986	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	542	520	BMMC5_Myeloid	0	10	1444	0.375346260387812	0.3601108033241	0.959409594095941	scE2G_ATAC	myeloid.BMMC5_Myeloid	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
blood	255	240	BMMC5_Erythroid	0	10	1001	0.254745254745255	0.23976023976024	0.941176470588235	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	46	46	PBMC5_B	0	10	162	0.283950617283951	0.283950617283951	1	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	518	495	PBMC5_Mono	0	10	1444	0.358725761772853	0.342797783933518	0.955598455598455	scE2G_ATAC	myeloid.PBMC5_Mono	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
NK	80	75	PBMC5_NK	0	10	226	0.353982300884956	0.331858407079646	0.9375	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
T	320	313	PBMC5_T	0	10	1410	0.226950354609929	0.221985815602837	0.978125	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	162-1444 variants	0-10 Kb	3-11 biosample pairs
blood	164	91	K562	10	100	1474	0.111261872455902	0.0617367706919946	0.554878048780488	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
spleen	30	20	K562	10	100	269	0.111524163568773	0.0743494423791822	0.666666666666667	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
LCL	164	111	GM12878	10	100	1165	0.140772532188841	0.0952789699570815	0.676829268292683	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
B	46	31	BMMC5_B	10	100	276	0.166666666666667	0.11231884057971	0.673913043478261	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
T	409	260	BMMC5_T	10	100	2634	0.155277145026576	0.0987091875474563	0.635696821515893	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
myeloid	511	352	BMMC5_Myeloid	10	100	2223	0.229869545659019	0.158344579397211	0.688845401174168	scE2G_ATAC	myeloid.BMMC5_Myeloid	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
dendritic	8	6	BMMC5_Dendritic	10	100	21	0.380952380952381	0.285714285714286	0.75	scE2G_ATAC	dendritic.BMMC5_Dendritic	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
blood	195	118	BMMC5_Erythroid	10	100	1474	0.132293080054274	0.0800542740841248	0.605128205128205	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
B	36	26	PBMC5_B	10	100	276	0.130434782608696	0.0942028985507246	0.722222222222222	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
dendritic	9	6	PBMC5_DC	10	100	21	0.428571428571429	0.285714285714286	0.666666666666667	scE2G_ATAC	dendritic.PBMC5_DC	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
myeloid	489	329	PBMC5_Mono	10	100	2223	0.219973009446694	0.14799820062978	0.67280163599182	scE2G_ATAC	myeloid.PBMC5_Mono	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
NK	73	54	PBMC5_NK	10	100	372	0.196236559139785	0.145161290322581	0.73972602739726	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
T	361	236	PBMC5_T	10	100	2634	0.13705391040243	0.0895975702353834	0.653739612188366	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	21-2634 variants	10-100 Kb	3-13 biosample pairs
blood	26	7	K562	100	250	243	0.106995884773663	0.0288065843621399	0.269230769230769	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
spleen	2	1	K562	100	250	47	0.0425531914893617	0.0212765957446809	0.5	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
LCL	24	15	GM12878	100	250	240	0.1	0.0625	0.625	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
B	13	5	BMMC5_B	100	250	52	0.25	0.0961538461538462	0.384615384615385	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
T	80	40	BMMC5_T	100	250	650	0.123076923076923	0.0615384615384615	0.5	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
myeloid	76	33	BMMC5_Myeloid	100	250	426	0.178403755868545	0.0774647887323944	0.434210526315789	scE2G_ATAC	myeloid.BMMC5_Myeloid	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
blood	20	4	BMMC5_Erythroid	100	250	243	0.0823045267489712	0.0164609053497942	0.2	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
B	7	3	PBMC5_B	100	250	52	0.134615384615385	0.0576923076923077	0.428571428571429	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
myeloid	77	35	PBMC5_Mono	100	250	426	0.18075117370892	0.0821596244131455	0.454545454545455	scE2G_ATAC	myeloid.PBMC5_Mono	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
NK	11	8	PBMC5_NK	100	250	59	0.186440677966102	0.135593220338983	0.727272727272727	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
T	72	30	PBMC5_T	100	250	650	0.110769230769231	0.0461538461538462	0.416666666666667	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	47-650 variants	100-250 Kb	3-11 biosample pairs
blood	12	1	K562	250	1000	137	0.0875912408759124	0.0072992700729927	0.0833333333333333	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
spleen	3	0	K562	250	1000	35	0.0857142857142857	0	0	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
LCL	6	0	GM12878	250	1000	132	0.0454545454545455	0	0	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
B	5	1	BMMC5_B	250	1000	50	0.1	0.02	0.2	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
T	38	4	BMMC5_T	250	1000	496	0.0766129032258065	0.00806451612903226	0.105263157894737	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
myeloid	17	5	BMMC5_Myeloid	250	1000	251	0.0677290836653386	0.0199203187250996	0.294117647058824	scE2G_ATAC	myeloid.BMMC5_Myeloid	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
blood	12	1	BMMC5_Erythroid	250	1000	137	0.0875912408759124	0.0072992700729927	0.0833333333333333	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
B	3	0	PBMC5_B	250	1000	50	0.06	0	0	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
myeloid	13	4	PBMC5_Mono	250	1000	251	0.051792828685259	0.0159362549800797	0.307692307692308	scE2G_ATAC	myeloid.PBMC5_Mono	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
NK	4	2	PBMC5_NK	250	1000	44	0.0909090909090909	0.0454545454545455	0.5	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
T	33	2	PBMC5_T	250	1000	496	0.0665322580645161	0.00403225806451613	0.0606060606060606	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	35-496 variants	250-1000 Kb	3-11 biosample pairs
blood	476	355	K562	0	30000	2861	0.166375393219154	0.124082488640336	0.745798319327731	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
spleen	95	79	K562	0	30000	621	0.152979066022544	0.127214170692432	0.831578947368421	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
LCL	453	378	GM12878	0	30000	2404	0.188435940099834	0.157237936772047	0.834437086092715	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
B	113	85	BMMC5_B	0	30000	540	0.209259259259259	0.157407407407407	0.752212389380531	scE2G_ATAC	B.BMMC5_B	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
T	872	638	BMMC5_T	0	30000	5192	0.167950693374422	0.122881355932203	0.731651376146789	scE2G_ATAC	T.BMMC5_T	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
myeloid	1146	910	BMMC5_Myeloid	0	30000	4346	0.263690750115048	0.209387942936033	0.794066317626527	scE2G_ATAC	myeloid.BMMC5_Myeloid	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
dendritic	12	9	BMMC5_Dendritic	0	30000	35	0.342857142857143	0.257142857142857	0.75	scE2G_ATAC	dendritic.BMMC5_Dendritic	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
blood	483	363	BMMC5_Erythroid	0	30000	2861	0.168822090178259	0.126878713736456	0.751552795031056	scE2G_ATAC	blood.BMMC5_Erythroid	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
B	92	75	PBMC5_B	0	30000	540	0.17037037037037	0.138888888888889	0.815217391304348	scE2G_ATAC	B.PBMC5_B	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
dendritic	12	8	PBMC5_DC	0	30000	35	0.342857142857143	0.228571428571429	0.666666666666667	scE2G_ATAC	dendritic.PBMC5_DC	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
myeloid	1097	863	PBMC5_Mono	0	30000	4346	0.252416014726185	0.198573400828348	0.78669097538742	scE2G_ATAC	myeloid.PBMC5_Mono	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
NK	168	139	PBMC5_NK	0	30000	701	0.239657631954351	0.198288159771755	0.827380952380952	scE2G_ATAC	NK.PBMC5_NK	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
T	786	581	PBMC5_T	0	30000	5192	0.151386748844376	0.111902927580894	0.739185750636132	scE2G_ATAC	T.PBMC5_T	scE2G (scATAC)	#006479	35-5192 variants	All variants	3-13 biosample pairs
blood	288	277	K562	0	10	1001	0.287712287712288	0.276723276723277	0.961805555555556	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
spleen	61	59	K562	0	10	268	0.227611940298507	0.220149253731343	0.967213114754098	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
LCL	259	257	GM12878	0	10	866	0.299076212471132	0.296766743648961	0.992277992277992	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	49	49	BMMC5_B	0	10	162	0.302469135802469	0.302469135802469	1	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
T	349	346	BMMC5_T	0	10	1410	0.247517730496454	0.245390070921986	0.991404011461318	scABC	T.BMMC5_T	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	545	541	BMMC5_Myeloid	0	10	1444	0.377423822714681	0.374653739612188	0.992660550458716	scABC	myeloid.BMMC5_Myeloid	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
blood	253	248	BMMC5_Erythroid	0	10	1001	0.252747252747253	0.247752247752248	0.980237154150198	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
B	47	47	PBMC5_B	0	10	162	0.290123456790123	0.290123456790123	1	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
myeloid	523	515	PBMC5_Mono	0	10	1444	0.36218836565097	0.356648199445983	0.984703632887189	scABC	myeloid.PBMC5_Mono	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
NK	80	78	PBMC5_NK	0	10	226	0.353982300884956	0.345132743362832	0.975	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	162-1444 variants	0-10 Kb	3-11 biosample pairs
